"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"GRK5",-1.98734739696231,7.98416087813502,-19.7325526678748,1.24229201154965e-39,2.03462585651602e-35,79.5179495296927,"Down"
"SPOCK2",-2.08898705851457,8.48136141500234,-18.9008278160082,6.42116319193244e-38,5.25829053787347e-34,75.6420088786325,"Down"
"AGER",-3.79590592590691,9.32785824006054,-18.8154881489433,9.67317223756908e-38,5.28090716356355e-34,75.2391699909802,"Down"
"NCKAP5",-3.02206202477181,5.74714366401693,-18.549903022304,3.48294270622995e-37,1.42609089106585e-33,73.9793708064089,"Down"
"CA4",-3.13434627895906,8.12784803552017,-18.1273446599171,2.72370900163885e-36,8.35750633555352e-33,71.9558850779039,"Down"
"RTKN2",-3.0877336593106,5.64709464121189,-18.1034478770712,3.06173146985719e-36,8.35750633555352e-33,71.8407527838482,"Down"
"COL10A1",3.94665204704435,7.75153325265833,17.2791232268082,1.80980427487467e-34,4.23442491627106e-31,67.8237187836708,"Up"
"KANK3",-2.01648164093739,7.64337372062006,-17.1250507395867,3.91614222659567e-34,8.01732217339799e-31,67.0631592047152,"Down"
"SGCG",-2.05678578261155,6.48353532143917,-16.9524276768356,9.33174226330126e-34,1.69816971987053e-30,66.2074183166692,"Down"
"GOLM1",2.0694559067409,8.92911635441186,16.9196158920814,1.10108871353459e-33,1.80336309502695e-30,66.0443314828793,"Up"
"GPM6A",-3.92271536508438,7.71598214887638,-16.6223960700036,4.95862127417261e-33,7.38293629349082e-30,64.560824643682,"Down"
"FRMD3",-1.84579260878725,7.13058005073686,-16.3499259602957,1.98874105277221e-32,2.71430008019194e-29,63.1911012618622,"Down"
"EFNA4",1.78905714027789,7.54171838162466,16.318386177574,2.33697823280371e-32,2.87946603143169e-29,63.0319522700818,"Up"
"DENND3",-1.22358660379021,7.95667065851367,-16.3082533874095,2.46138261326435e-32,2.87946603143169e-29,62.9807963173958,"Down"
"CCM2L",-1.79291156720415,7.74804860427577,-16.2926856667677,2.66560293796596e-32,2.91048299453377e-29,62.9021770788064,"Down"
"ACVRL1",-1.58531406104272,8.44738533306002,-16.2703137102098,2.98926027585713e-32,3.05467227492733e-29,62.789143030557,"Down"
"CCBE1",-1.40681594732474,6.94870103635521,-16.2588154512423,3.17068193147909e-32,3.05467227492733e-29,62.7310241746706,"Down"
"IGSF10",-2.36229314795193,7.6769806254531,-16.0585561794997,8.86990905403329e-32,8.07063169371985e-29,61.7161920480509,"Down"
"SH3GL3",-1.55764228908622,6.86609599733609,-16.0391865733568,9.80034067821472e-32,8.44789366462109e-29,61.6177745658942,"Down"
"TNNC1",-3.07440546961285,8.16486633300397,-15.8851698908626,2.16968757662842e-31,1.77675715650101e-28,60.8335906963258,"Down"
"SERTM1",-2.6132440408666,5.51663088029103,-15.7918388541929,3.51675236066219e-31,2.74273191252026e-28,60.3569977910687,"Down"
"GPIHBP1",-2.31748631553916,8.02622801036474,-15.6078340343439,9.13995744858523e-31,6.59758003714039e-28,59.414332579702,"Down"
"SPTBN1",-1.14971904071681,7.84941324656508,-15.6052189201454,9.26513254696721e-31,6.59758003714039e-28,59.4009062757349,"Down"
"CLEC3B",-2.918324314157,10.6203653638235,-15.5511208687181,1.22781731601404e-30,8.37883000069917e-28,59.122979635934,"Down"
"ARHGEF26",-2.12656559975354,7.0580130627052,-15.4472599689385,2.11010927691561e-30,1.38237478949295e-27,58.5884353025499,"Down"
"STX11",-2.12564234057703,6.50543733668401,-15.3095100920283,4.33538800233633e-30,2.73096095008709e-27,57.877536140276,"Down"
"SPP1",4.50288037282108,10.210566175619,15.1869834003004,8.24073570766709e-30,4.99876923778413e-27,57.2433645310129,"Up"
"ARRB1",-1.10031661751965,8.33986855536829,-15.0918596691252,1.35836823958858e-29,7.94548393856493e-27,56.749846023299,"Down"
"CLIC5",-1.75049686167628,7.2805861978931,-15.0586270364808,1.61788938988721e-29,9.13716980261127e-27,56.5771885133905,"Down"
"FAM107A",-3.01917030229334,9.36154920160987,-14.8899569378428,3.93674416626266e-29,2.14919986516833e-26,55.6989738611658,"Down"
"PYCR1",1.22156744374587,7.97317226619119,14.7130077864854,1.00393425971423e-28,5.30401138890312e-26,54.7742842943529,"Up"
"CLEC14A",-1.60311318173901,8.72505025561526,-14.6730140185564,1.24106976640834e-28,6.35195019819868e-26,54.5648168137914,"Down"
"MYZAP",-2.33227886034737,8.04727467221302,-14.5858906921652,1.97087948564171e-28,9.78153461086057e-26,54.1079150964792,"Down"
"ROBO4",-1.54530050479946,8.00979474483402,-14.5731552754132,2.10887272103668e-28,1.01585639485702e-25,54.0410589441586,"Down"
"RASIP1",-0.968832219538717,6.63916963856827,-14.5514659253083,2.36657862292074e-28,1.07678434310573e-25,53.9271584867938,"NS"
"VSIR",-1.12587397374435,8.28022633682783,-14.5514445184448,2.36684798826513e-28,1.07678434310573e-25,53.9270460452392,"Down"
"PTPRB",-1.96791741723497,7.48168003787849,-14.525208441375,2.7212304475974e-28,1.20454898029054e-25,53.7892022689725,"Down"
"MYCT1",-1.34545665767029,7.08121784445309,-14.4775632024552,3.50659239642141e-28,1.49861853570137e-25,53.5386902481491,"Down"
"KL",-2.20203922746491,5.82713351375491,-14.4742724102278,3.56857509417228e-28,1.49861853570137e-25,53.5213789453746,"Down"
"CORO2B",-1.52126567092359,6.17771521642928,-14.4390171482168,4.3057451224033e-28,1.76298734036803e-25,53.3358468129872,"Down"
"PECAM1",-1.60161411081324,10.5141323854011,-14.3899390565134,5.59330089742195e-28,2.23431907556041e-25,53.0773566251847,"Down"
"OCIAD2",1.71760179028277,9.91479293651069,14.3466575950692,7.04621261101276e-28,2.74768738436112e-25,52.8491905548819,"Up"
"ARHGAP31",-0.985010011682622,6.87259623529956,-14.3329641971433,7.5805673036846e-28,2.88731468138945e-25,52.7769632868822,"NS"
"SH2D3C",-1.58190190038315,8.17329291075319,-14.2738340182605,1.03962979254996e-27,3.86978562326893e-25,52.4648552694566,"Down"
"CTHRC1",3.22636857761619,9.43849237885048,14.1666771781797,1.84440040304529e-27,6.71279773357237e-25,51.8983467860362,"Up"
"ECSCR",-1.7602329231106,8.88430953893471,-14.1503588158391,2.01285875723769e-27,7.16665233174758e-25,51.8119753280709,"Down"
"FUT2",1.33188188099236,6.85764225991407,14.1404627452649,2.12245252709755e-27,7.32348760065295e-25,51.7595835354365,"Up"
"FGD5",-1.31986562170088,7.8532760324621,-14.1383739861253,2.1463390208288e-27,7.32348760065295e-25,51.7485239823884,"Down"
"ADAMTS8",-1.89406265302827,7.29877457833869,-14.1017446739602,2.61192591385572e-27,8.73022910553654e-25,51.5545091407318,"Down"
"SERINC2",1.71290727970549,8.19663108857901,14.0789744762617,2.95115223466099e-27,9.650084788722e-25,51.4338353785641,"Up"
"ASPA",-1.18672642490859,5.96868823703954,-14.0756051573157,3.0049720614533e-27,9.650084788722e-25,51.415974891398,"Down"
