"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"ADAMTS8",-2.95072649801142,6.28795662131687,-22.5680809798916,3.44608370298018e-51,4.6249889377697e-47,105.984158781299,"Down"
"AGER",-3.67770815180411,6.91513153938178,-22.393173176765,8.77880230987959e-51,5.8910152900447e-47,105.05843005813,"Down"
"GKN2",-4.27050819829329,6.58567512248359,-21.9278245427846,1.07660446002411e-49,4.81636948599455e-46,102.576284174991,"Down"
"CLIC5",-2.06752795960979,5.71277381238809,-21.1154752322672,9.13883230010882e-48,3.06630670749401e-44,98.1762498525944,"Down"
"LRRC36",-2.04716497046162,6.20375072769,-21.0203751101245,1.54547365730996e-47,4.1483603909514e-44,97.6555781484814,"Down"
"FAM107A",-3.29054640183229,7.25505299124443,-20.9056373939671,2.91747925806336e-47,6.13787860569612e-44,97.0258399052353,"Down"
"MAMDC2",-4.14403984063135,6.80292696122095,-20.8888959637147,3.20133747409827e-47,6.13787860569612e-44,96.9338128045791,"Down"
"ACADL",-2.70179720942359,5.63501072755455,-20.4319738364662,4.09069206119637e-46,6.86264726916457e-43,94.4082183627535,"Down"
"CA4",-3.03573088614464,6.2337943851041,-20.3758500625694,5.60388985291092e-46,8.35664507954639e-43,94.0961528198716,"Down"
"TNNC1",-3.47561213648984,6.43833537520529,-19.8086055864194,1.3792652405352e-44,1.85111187932229e-41,90.9195447860794,"Down"
"TCF21",-3.0944415441967,6.21791971360005,-19.7060930834265,2.47123600918446e-44,2.93620251560216e-41,90.3411091308929,"Down"
"IGSF10",-2.56499595077168,6.38177046434837,-19.6954738312503,2.62532077991401e-44,2.93620251560216e-41,90.2811132015421,"Down"
"ARHGAP31",-1.24381630070124,5.21386165224374,-19.624815831586,3.92752337963178e-44,4.05471471369524e-41,89.8815522648987,"Down"
"GLDN",-3.06262989887644,7.0674733357343,-19.6079658480831,4.32390230660709e-44,4.14507806121241e-41,89.7861750958154,"Down"
"PTPRB",-2.19804619236585,6.14027162128882,-19.5207269032683,7.11724802346032e-44,6.36803904819073e-41,89.2917989696406,"Down"
"ENTREP1",-2.64429434572824,6.45799725304549,-19.3272837281194,2.15619699275801e-43,1.80864498998783e-40,88.1921657761831,"Down"
"GPM6A",-3.63333892662755,5.58015775129703,-19.2824049990991,2.79031115551396e-43,2.20286858930311e-40,87.9363825923282,"Down"
"STX11",-2.07328242679037,5.49362516398976,-19.208166348712,4.27660800192743e-43,3.18868644410378e-40,87.5127134786858,"Down"
"SLC46A2",-2.4493315270191,5.76682663538945,-19.1389118935457,6.37322670226055e-43,4.50184608268625e-40,87.1168704404284,"Down"
"MCEMP1",-3.7651444584426,8.44274961407807,-19.1246670446873,6.91876276871254e-43,4.64283575594455e-40,87.035376224245,"Down"
"FCN3",-4.2000221920812,8.22784194927476,-18.9613191169711,1.77753085296681e-42,1.13601150369845e-39,86.0990738544727,"Down"
"EDNRB",-3.20979330905578,7.02011562355651,-18.9228793098821,2.22052060240845e-42,1.35461850022381e-39,85.8782600136843,"Down"
