"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"CEACAM5",4.88964472167909,7.43967083837845,15.277437535859,2.26918597644481e-08,0.000140954820262479,9.52961368305398,"Up"
"FMO2",-2.271811319285,10.7228619830311,-14.3171031406681,4.28783893889928e-08,0.000140954820262479,8.99811149552888,"Down"
"RNF182",-2.40241971368723,7.2382123979052,-13.8295522277796,6.01315539587728e-08,0.000140954820262479,8.70958653122696,"Down"
"ZBED2",-4.25979780225876,9.31990610436053,-13.7993632590426,6.14257063501229e-08,0.000140954820262479,8.69128280306153,"Down"
"SPINK1",4.41180113776391,8.18156931747928,13.685206820533,6.66018167598559e-08,0.000140954820262479,8.62159524400736,"Up"
"PITX1",3.4413812706122,6.57714487088392,13.5858205829963,7.14977949091892e-08,0.000140954820262479,8.56030784754718,"Up"
"CCK",-2.98690530518675,6.52127339172579,-13.3870177068021,8.25146619251597e-08,0.000140954820262479,8.4359636774654,"Down"
"SPRYD7",-2.56346013458068,8.89764982196315,-13.3851397214051,8.2627197660246e-08,0.000140954820262479,8.43477779868657,"Down"
"GKN2",-3.00856035291438,9.75411926317495,-13.2045771696137,9.42723892702479e-08,0.000140954820262479,8.3197591473022,"Down"
"SGCG",-2.61036233524413,6.17365169786609,-13.1903198650392,9.52655446107148e-08,0.000140954820262479,8.31059222073058,"Down"
"DMRT2",-2.93426453427954,6.8063630120296,-13.1547735346005,9.77918217182098e-08,0.000140954820262479,8.28768254126827,"Down"
"B3GNT3",3.68296590245704,7.84581620496621,13.1048928211138,1.01461090705401e-07,0.000140954820262479,8.25540215769814,"Up"
"LCN2",3.93489635129334,7.47280008641089,12.3423586984646,1.81082061489441e-07,0.00023221684977619,7.74202443593728,"Up"
"MOGAT1",-2.00097656417376,6.11679112718056,-12.0699448517205,2.24442069102579e-07,0.000267262409572078,7.54914492377575,"Down"
"NCKAP5",-3.23951174565714,8.46864072951651,-11.9662802425239,2.43819947277705e-07,0.000270981489404442,7.47437234897171,"Down"
"HAS1",-3.17673938804005,8.45932193586871,-11.8782244007435,2.61718571071101e-07,0.000272694393645396,7.41025149074636,"Down"
"SPN",-1.41560769622071,7.30075314678162,-11.7471288059109,2.91078092786509e-07,0.000285444875579053,7.31374288019788,"Down"
"PHACTR2",-1.60391883798836,10.0422040200191,-11.6629674883925,3.11810787685743e-07,0.000288788757861612,7.25111712417776,"Down"
