"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"NR4A1",-2.39062112117442,8.05443995875749,-15.3864731464917,4.90126817344853e-11,8.80757890768702e-07,15.1862811743369,"Down"
"FBLN5",-2.16584426627146,6.92547600918988,-13.6668713257814,2.89502316753496e-10,2.42583290737659e-06,13.6212427654602,"Down"
"SFTPC",-3.56786363565558,8.26134317980289,-13.2164994679824,4.75776805172831e-10,2.42583290737659e-06,13.1738892069346,"Down"
"FOSB",-3.44882920853501,8.43903630613034,-13.1037767092293,5.39973935976981e-10,2.42583290737659e-06,13.0592904589358,"Down"
"CYP4B1",-2.59300991864958,7.0167612369235,-12.7848110922831,7.76410933818719e-10,2.51263150367188e-06,12.7291282022826,"Down"
"SLIT3",-1.61999991583037,7.63071962845905,-12.6189145931372,9.40636752827314e-10,2.51263150367188e-06,12.5538950332454,"Down"
"GATA6",-1.97900800729209,7.23124250634377,-12.5847831593176,9.78765749900011e-10,2.51263150367188e-06,12.5175389719977,"Down"
"SLCO2A1",-2.15308683471643,7.71135192300737,-11.8801557436339,2.26892717895347e-09,4.66605080442447e-06,11.7430690172553,"Down"
"CLEC4E",-2.4083236246512,5.93113223983454,-11.8218313923222,2.43684348106337e-09,4.66605080442447e-06,11.6768603267348,"Down"
"ADAMTS1",-2.96819392414944,8.00388699673218,-11.7701592670101,2.59657807703087e-09,4.66605080442447e-06,11.6179266172659,"Down"
"SOCS3",-2.04421422463236,7.68156665596899,-11.5454069918694,3.43145781317004e-09,5.58972073499877e-06,11.3585308956597,"Down"
"ZBTB16",-1.84870876148822,7.72360553831613,-11.4326363307179,3.95312680480995e-09,5.58972073499877e-06,11.2264777105411,"Down"
"CXCR2",-2.09645886101681,6.03462699921168,-11.3641410053435,4.31030040101498e-09,5.58972073499877e-06,11.1456416897381,"Down"
"ZFP36",-3.98405445340831,8.67620565287859,-11.2903138377005,4.73369182472204e-09,5.58972073499877e-06,11.0579762556641,"Down"
"CXCR1",-1.87061350814366,6.28795436511281,-11.194142871245,5.35210006547982e-09,5.58972073499877e-06,10.942936317155,"Down"
"CSRNP1",-1.51337293144209,7.25052629507238,-11.1744309498651,5.48906624810154e-09,5.58972073499877e-06,10.9192383549571,"Down"
"THBD",-1.29380617336045,7.52074265290295,-11.1122612155664,5.94579877776884e-09,5.58972073499877e-06,10.8442312029847,"Down"
"TNS1",-2.17045550090519,8.28615418000214,-11.1039377426898,6.00992529155918e-09,5.58972073499877e-06,10.8341582852812,"Down"
"FBLN1",-2.07589474933441,8.27544014797266,-11.0826114169512,6.17758134008152e-09,5.58972073499877e-06,10.8083163211789,"Down"
"INMT",-3.39001001025699,6.54584051415057,-11.0670824662556,6.30276132828978e-09,5.58972073499877e-06,10.789469146705,"Down"
"S1PR1",-1.97102512541687,7.36548836649772,-11.039443188189,6.53222790400524e-09,5.58972073499877e-06,10.7558609723483,"Down"
"RNF122",-1.72115988816944,6.92559107174949,-10.9260784350074,7.56972283393283e-09,5.77637932760729e-06,10.6171664100802,"Down"
"ADGRE5",-1.47250453318027,7.73759000973459,-10.909804872654,7.73236359611862e-09,5.77637932760729e-06,10.5971442158563,"Down"
"CLDN18",-2.79281290050627,7.71457834544213,-10.8901445257234,7.93378116417191e-09,5.77637932760729e-06,10.572917207534,"Down"
"MT1M",-3.38127856271627,8.37174213179897,-10.8803537724552,8.03614263718321e-09,5.77637932760729e-06,10.5608367942602,"Down"
"S100A12",-2.43736744399388,6.25020131122862,-10.8162454803833,8.74175159785586e-09,5.83166976682818e-06,10.4814809062228,"Down"
"ABCA8",-2.38720004458541,5.858415420135,-10.8144778927911,8.76210816384869e-09,5.83166976682818e-06,10.4792866226489,"Down"
"MT1A",-2.34448451694323,7.52979109479951,-10.7255972231525,9.85298157797484e-09,6.18772388677197e-06,10.3685125014967,"Down"
"ABI3BP",-2.93927094009651,7.44726767921563,-10.7154940198145,9.98575362918126e-09,6.18772388677197e-06,10.3558661218345,"Down"
"AQP1",-2.48569122722201,8.23183548545133,-10.6568301098415,1.07948941516463e-08,6.46614159683614e-06,10.2822142245083,"Down"
"FAM107A",-1.9110064025591,7.1472504564986,-10.5379446162127,1.26541272478206e-08,7.33531182720438e-06,10.1317902105953,"Down"
"IL18RAP",-1.32978738258587,4.84182869190401,-10.4597172928451,1.40594549144676e-08,7.8952626504057e-06,10.0319520267885,"Down"
"AOC3",-1.61926615734755,7.11713264141434,-10.4326355618259,1.45835297470832e-08,7.9413948350026e-06,9.99722878008737,"Down"
"PRELP",-2.35849221980303,7.73193792498669,-10.3560575059565,1.61799020607709e-08,8.55155411858979e-06,9.89859495066853,"Down"
"LHFPL6",-1.87552685431809,8.27785096982753,-10.3179361442307,1.70422843282431e-08,8.74999569652937e-06,9.84924594191457,"Down"
"FPR1",-1.62632593185502,6.41665199766564,-10.2598627363346,1.84503238034337e-08,9.20978663188066e-06,9.77374973426924,"Down"
"TNXB",-1.13589090190254,7.42063745135382,-10.1557639748392,2.12898358284876e-08,1.03399554010249e-05,9.63744990103463,"Down"
"FHL5",-2.34587182401147,6.38714944606684,-10.1202487471957,2.23610007409058e-08,1.05743995608968e-05,9.59066183505655,"Down"
"ITGA8",-2.37988655620533,6.69043746763691,-10.0544374942828,2.44987503041626e-08,1.12882703324565e-05,9.50357305496945,"Down"
"MMP19",-2.57466372320725,7.29182105876212,-9.99621003596332,2.6569800481988e-08,1.16993822745896e-05,9.42609697187893,"Down"
"DLC1",-1.60190340391425,6.81662468939555,-9.99289616043662,2.66930814278339e-08,1.16993822745896e-05,9.42167561087442,"Down"
"C5AR1",-2.19281208542149,5.88323864554856,-9.93630742174324,2.8893857153429e-08,1.23624431677886e-05,9.34597492312101,"Down"
"FOSL2",-1.50277490021856,7.88946687857628,-9.90831538124152,3.00523596877874e-08,1.23887419998222e-05,9.30838877876639,"Down"
"SMAP2",-1.71371369343732,7.880511953164,-9.90167846928202,3.03341484692364e-08,1.23887419998222e-05,9.29946345028018,"Down"
"CD93",-1.73455891288655,7.65012366580817,-9.86022317188259,3.21583898077202e-08,1.28419169965496e-05,9.2435955570963,"Down"
"JUNB",-1.92387686520805,8.3665816727133,-9.79368851718498,3.53316916273801e-08,1.35613863183685e-05,9.15349945879932,"Down"
