"Regulation","Gene","Dataset"
"Down","TMEM100","GSE19804"
"Up","CREB3L4","GSE19804"
"Down","DACH1","GSE19804"
"Down","CRYAB","GSE19804"
"Down","AGTR1","GSE19804"
"Down","FAM162B","GSE19804"
"Up","GALNT7","GSE19804"
"Down","TOX2","GSE19804"
"Up","PDIA4","GSE19804"
"Down","SOSTDC1","GSE19804"
"Up","ST14","GSE19804"
"Down","INMT","GSE19804"
"Down","TRHDE","GSE19804"
"Down","NEBL","GSE19804"
"Up","TMPRSS4","GSE19804"
"Down","ADGRE1","GSE19804"
"Down","PDE2A","GSE19804"
"Down","PAPSS2","GSE19804"
"Down","KCNJ8","GSE19804"
"Down","PCDH17","GSE19804"
"Down","ITM2A","GSE19804"
"Up","ZWINT","GSE19804"
"Up","PSAT1","GSE19804"
"Up","TPBG","GSE19804"
"Down","S100A3","GSE19804"
"Down","TGFBR3","GSE19804"
"Down","GIMAP1","GSE19804"
"Up","GPT2","GSE19804"
"Down","SOX17","GSE19804"
"Down","RAP1A","GSE19804"
"Down","LAMP3","GSE19804"
"Down","NKG7","GSE19804"
"Down","DPEP2","GSE19804"
"Down","FYN","GSE19804"
"Down","ADH1B","GSE19804"
"Down","CNTN6","GSE19804"
"Down","SEMA3G","GSE19804"
"Down","PPP1R15A","GSE19804"
"Down","SELP","GSE19804"
"Down","WWC2","GSE19804"
"Down","FIBIN","GSE19804"
"Down","RRAS","GSE19804"
"Down","SLIT3","GSE19804"
"Up","MUC20","GSE19804"
"Down","NR4A1","GSE19804"
"Down","GKN2","GSE19804"
"Down","PIP5K1B","GSE19804"
"Up","BZW2","GSE19804"
"Down","SLC5A9","GSE19804"
"Down","SLC19A3","GSE19804"
"Down","FHL5","GSE19804"
"Down","LMO2","GSE19804"
"Down","FGFBP2","GSE19804"
"Down","MFAP4","GSE19804"
"Up","COL11A1","GSE19804"
"Down","ALKAL2","GSE19804"
"Down","FXYD1","GSE19804"
"Up","LGR4","GSE19804"
"Up","GMNN","GSE19804"
"Down","CLDN18","GSE19804"
"Up","COL1A1","GSE19804"
"Up","PODXL2","GSE19804"
"Down","P2RY14","GSE19804"
"Down","APOL3","GSE19804"
"Up","GINS1","GSE19804"
"Down","LRRC32","GSE19804"
"Up","CDC20","GSE19804"
"Down","STARD8","GSE19804"
"Up","C1orf53","GSE19804"
"Down","AOC3","GSE19804"
"Down","PKIG","GSE19804"
"Down","TMEM178A","GSE19804"
"Up","THBS2","GSE19804"
"Up","TMT1B","GSE19804"
"Down","MAL","GSE19804"
"Up","ERO1A","GSE19804"
"Down","BMP6","GSE19804"
"Down","COX7A1","GSE19804"
"Down","ABCA8","GSE19804"
"Down","GABARAPL1","GSE19804"
"Down","DAPK2","GSE19804"
"Down","HECW2","GSE19804"
"Down","GNLY","GSE19804"
"Down","LTBP4","GSE19804"
"Up","SLC39A11","GSE19804"
"Up","SPAG4","GSE19804"
"Down","PRF1","GSE19804"
"Up","TRIM2","GSE19804"
"Down","CFP","GSE19804"
"Down","HBEGF","GSE19804"
"Up","GJB2","GSE19804"
"Down","PLEKHH2","GSE19804"
"Down","RNF182","GSE19804"
"Down","CLIC3","GSE19804"
"Down","RAI2","GSE19804"
"Down","SEMA3B","GSE19804"
"Up","IGSF9","GSE19804"
"Down","CRIM1","GSE19804"
"Down","MYOC","GSE19804"
"Down","LHFPL6","GSE19804"
"Up","FUT3","GSE19804"
"Down","SNRK","GSE19804"
"Up","MMP11","GSE19804"
"Down","PODXL","GSE19804"
"Up","TLCD1","GSE19804"
"Down","GJA4","GSE19804"
"Up","DEPTOR","GSE19804"
"Down","GHR","GSE19804"
"Down","EDN1","GSE19804"
"Down","FERMT2","GSE19804"
"Up","GLB1L2","GSE19804"
"Down","CAVIN1","GSE19804"
"Up","COMP","GSE19804"
"Down","NRN1","GSE19804"
"Down","KLF4","GSE19804"
"Down","MARCO","GSE19804"
"Down","SH3BP5","GSE19804"
"Down","ANGPT1","GSE19804"
"Up","NMU","GSE19804"
"Up","LAD1","GSE19804"
"Up","SRD5A1","GSE19804"
"Down","PREX1","GSE19804"
"Down","SLC25A25","GSE19804"
"Down","PALMD","GSE19804"
"Down","PPP1R14A","GSE19804"
"Down","DUOX1","GSE19804"
"Down","SOCS2","GSE19804"
"Down","CNRIP1","GSE19804"
"Down","S100A4","GSE19804"
"Down","KLRF1","GSE19804"
"Down","GALNT18","GSE19804"
"Down","GYPC","GSE19804"
"Down","FRY","GSE19804"
"Down","GLIPR2","GSE19804"
"Down","C14orf132","GSE19804"
"Down","ARHGAP29","GSE19804"
"Down","GMFG","GSE19804"
"Down","MT1M","GSE19804"
"Up","P3H4","GSE19804"
"Down","TSPAN7","GSE19804"
"Down","CAV2","GSE19804"
"Up","KIF20A","GSE19804"
"Down","NOSTRIN","GSE19804"
"Down","RASL12","GSE19804"
"Up","NME1","GSE19804"
"Down","VIPR1","GSE19804"
"Down","KLRD1","GSE19804"
"Up","TFAP2A","GSE19804"
"Down","HYAL2","GSE19804"
"Up","PLEK2","GSE19804"
"Down","CCN5","GSE19804"
"Down","DES","GSE19804"
"Down","PHLDB2","GSE19804"
"Down","PDK4","GSE19804"
"Down","GBP4","GSE19804"
"Up","PRDX4","GSE19804"
"Up","KCNK5","GSE19804"
"Up","HMMR","GSE19804"
"Up","COL3A1","GSE19804"
"Down","GIMAP4","GSE19804"
"Down","TMEM47","GSE19804"
"Up","UBE2C","GSE19804"
"Down","MYADM","GSE19804"
"Down","KLF9","GSE19804"
"Down","NEDD4L","GSE19804"
"Down","WIF1","GSE19804"
"Up","CCNB2","GSE19804"
"Up","SBK1","GSE19804"
"Up","DLGAP5","GSE19804"
"Up","MMP12","GSE19804"
"Up","CCNB1","GSE19804"
"Down","ELMO1","GSE19804"
"Up","ST6GALNAC1","GSE19804"
"Up","H2BC5","GSE19804"
"Up","HABP2","GSE19804"
"Down","ADGRE5","GSE19804"
"Down","DPYSL2","GSE19804"
"Down","CBX7","GSE19804"
"Down","C1orf115","GSE19804"
"Down","BNIP2","GSE19804"
"Down","GPC3","GSE19804"
"Down","CTNNAL1","GSE19804"
"Down","HHIP","GSE19804"
"Up","BCL2L15","GSE19804"
"Up","MCM2","GSE19804"
"Down","ARC","GSE19804"
