"Regulation","Gene","Dataset"
"Down","IFI30","GSE18842"
"Up","ITGAV","GSE18842"
"Up","LRP8","GSE18842"
"Up","LSG1","GSE18842"
"Up","GALNT14","GSE18842"
"Up","SPAST","GSE18842"
"Up","MCM3","GSE18842"
"Up","ST14","GSE18842"
"Down","SASH3","GSE18842"
"Down","SIGLEC1","GSE18842"
"Down","ZC3H12C","GSE18842"
"Up","TMEM158","GSE18842"
"Up","KCNK1","GSE18842"
"Up","GJB3","GSE18842"
"Down","TRPC6","GSE18842"
"Down","FSTL3","GSE18842"
"Down","GIMAP2","GSE18842"
"Down","SLC15A2","GSE18842"
"Down","AKAP12","GSE18842"
"Down","PLBD1","GSE18842"
"Down","C2","GSE18842"
"Up","SUGCT","GSE18842"
"Down","CPA3","GSE18842"
"Up","PHGDH","GSE18842"
"Down","SOCS3","GSE18842"
"Up","ADAMDEC1","GSE18842"
"Down","IRAK3","GSE18842"
"Down","CFLAR","GSE18842"
"Up","DSCC1","GSE18842"
"Up","COL7A1","GSE18842"
"Down","CD68","GSE18842"
"Down","LAIR1","GSE18842"
"Down","FGF7","GSE18842"
"Down","ABCB1","GSE18842"
"Down","RIPOR2","GSE18842"
"Up","PRR11","GSE18842"
"Down","EMP3","GSE18842"
"Down","C1QA","GSE18842"
"Down","FCGR3B","GSE18842"
"Up","GRHL2","GSE18842"
"Up","STAP2","GSE18842"
"Up","CA9","GSE18842"
"Down","SLFN11","GSE18842"
"Down","KDM6B","GSE18842"
"Up","KRT6B","GSE18842"
"Down","MPP1","GSE18842"
"Down","TSPAN13","GSE18842"
"Down","FERMT2","GSE18842"
"Down","AKNA","GSE18842"
"Down","S100A3","GSE18842"
"Up","SERINC2","GSE18842"
"Up","NOX4","GSE18842"
"Up","CDH1","GSE18842"
"Down","CCDC50","GSE18842"
"Down","TLR8","GSE18842"
"Up","KRT80","GSE18842"
"Up","RAB38","GSE18842"
"Up","TMEM54","GSE18842"
"Down","FHOD1","GSE18842"
"Down","JADE1","GSE18842"
"Down","PCDH12","GSE18842"
"Down","ALOX15B","GSE18842"
"Up","EGLN3","GSE18842"
"Down","APOH","GSE18842"
"Down","MAFF","GSE18842"
"Down","ARMCX1","GSE18842"
"Down","VNN2","GSE18842"
"Up","NQO1","GSE18842"
"Down","PAG1","GSE18842"
"Down","IL10RA","GSE18842"
"Down","JCAD","GSE18842"
"Down","TCEAL7","GSE18842"
"Down","SPRY4","GSE18842"
"Down","PLAGL1","GSE18842"
"Down","RAB27A","GSE18842"
"Down","MYH10","GSE18842"
"Up","ZNF367","GSE18842"
"Down","C1QTNF2","GSE18842"
"Down","SRGN","GSE18842"
"Up","OVOL1","GSE18842"
"Down","SOD3","GSE18842"
"Down","TRIM22","GSE18842"
"Down","AGTR2","GSE18842"
"Up","PC","GSE18842"
"Up","HYLS1","GSE18842"
"Up","GCAT","GSE18842"
"Down","FPR2","GSE18842"
"Up","PPIF","GSE18842"
"Down","MAN1C1","GSE18842"
"Up","SUSD4","GSE18842"
"Up","RNF43","GSE18842"
"Down","TMEM163","GSE18842"
"Down","TLE2","GSE18842"
"Down","DKK2","GSE18842"
"Down","CHPT1","GSE18842"
"Up","STK26","GSE18842"
"Down","RNASE1","GSE18842"
"Up","NHERF1","GSE18842"
"Down","MGAM","GSE18842"
"Down","SLPI","GSE18842"
"Down","SFTA2","GSE18842"
"Down","TCIM","GSE18842"
"Down","HOPX","GSE18842"
"Up","MTCL1","GSE18842"
"Down","TMEM220","GSE18842"
"Up","PTPRZ1","GSE18842"
"Up","ZNF750","GSE18842"
"Down","SH3BGRL2","GSE18842"
"Down","STEAP4","GSE18842"
"Up","CNFN","GSE18842"
"Down","TCEAL2","GSE18842"
"Up","RPL22L1","GSE18842"
"Down","SLC16A4","GSE18842"
"Down","S100A12","GSE18842"
"Up","PKP1","GSE18842"
"Down","CST6","GSE18842"
"Up","HSD17B1","GSE18842"
"Up","DEPDC7","GSE18842"
"Down","ROR1","GSE18842"
"Down","LCP2","GSE18842"
"Up","MASTL","GSE18842"
"Down","PRELP","GSE18842"
"Down","EVI2A","GSE18842"
"Up","C17orf75","GSE18842"
"Down","VAMP5","GSE18842"
"Up","PTGES","GSE18842"
"Up","HOXB7","GSE18842"
"Up","COA6","GSE18842"
"Down","P2RX7","GSE18842"
"Down","SCGB3A1","GSE18842"
"Down","ARHGDIB","GSE18842"
"Down","CDKN1C","GSE18842"
"Up","FAM83A","GSE18842"
"Down","PTPRE","GSE18842"
"Down","AIF1","GSE18842"
"Down","ADAMTS1","GSE18842"
"Up","LRP12","GSE18842"
"Down","MYRIP","GSE18842"
"Up","DDIAS","GSE18842"
"Up","PSD3","GSE18842"
"Up","BDH1","GSE18842"
"Up","TLCD1","GSE18842"
"Down","NAP1L5","GSE18842"
"Down","IQGAP2","GSE18842"
"Down","IRF8","GSE18842"
"Up","F2RL1","GSE18842"
"Up","KRT5","GSE18842"
"Down","CSGALNACT1","GSE18842"
"Up","PGF","GSE18842"
"Up","RSRC1","GSE18842"
"Down","EGR3","GSE18842"
"Down","HLA-DMA","GSE18842"
"Up","IVL","GSE18842"
"Up","PLAAT1","GSE18842"
"Down","SELL","GSE18842"
"Down","ADGRL2","GSE18842"
"Up","HOXA1","GSE18842"
"Down","SH3GL3","GSE18842"
"Down","CASP1","GSE18842"
"Down","PTGER2","GSE18842"
"Up","PRAME","GSE18842"
"Down","HACD1","GSE18842"
"Up","ZNF217","GSE18842"
"Down","AVPI1","GSE18842"
"Up","DGKA","GSE18842"
"Down","TSPAN7","GSE18842"
"Up","CHAC2","GSE18842"
"Up","CEP76","GSE18842"
"Down","GCHFR","GSE18842"
"Down","SLC46A3","GSE18842"
"Down","THBD","GSE18842"
"Down","SLC15A3","GSE18842"
"Down","ABCG1","GSE18842"
"Up","DLX5","GSE18842"
"Down","SLC34A2","GSE18842"
"Down","CCL2","GSE18842"
"Down","ARRDC4","GSE18842"
"Down","CRIP2","GSE18842"
"Down","SAMD9L","GSE18842"
"Down","CSF2RB","GSE18842"
"Down","PRF1","GSE18842"
"Up","TNFRSF18","GSE18842"
"Up","ERVMER34-1","GSE18842"
"Up","C15orf48","GSE18842"
"Down","ZBTB20","GSE18842"
"Up","GRHL1","GSE18842"
"Down","EVA1C","GSE18842"
"Up","FUT3","GSE18842"
"Up","DDIT4","GSE18842"
"Up","CMAS","GSE18842"
"Down","TMEM140","GSE18842"
"Down","SLC25A25","GSE18842"
"Up","FAT2","GSE18842"
"Down","NKX2-1","GSE18842"
"Down","ATP13A4","GSE18842"
"Down","HEG1","GSE18842"
"Down","SCNN1B","GSE18842"
"Down","IRF1","GSE18842"
"Up","TUFT1","GSE18842"
"Down","NKD2","GSE18842"
"Up","IGFBP5","GSE18842"
"Up","LSR","GSE18842"
"Down","ZSCAN18","GSE18842"
"Up","SPRR1A","GSE18842"
"Up","SERPINH1","GSE18842"
"Down","SLC19A2","GSE18842"
"Up","BNIP3","GSE18842"
"Up","NCCRP1","GSE18842"
"Down","BCL2A1","GSE18842"
"Down","ZNF83","GSE18842"
"Up","HS3ST3A1","GSE18842"
"Down","EPB41L3","GSE18842"
"Up","ABCC5","GSE18842"
"Down","FADS3","GSE18842"
"Down","CTSS","GSE18842"
"Down","NAPSA","GSE18842"
"Down","CLEC2B","GSE18842"
"Up","IL4I1","GSE18842"
"Up","PMAIP1","GSE18842"
"Down","PKDCC","GSE18842"
"Down","SHROOM3","GSE18842"
"Down","GALNT18","GSE18842"
"Down","CARD6","GSE18842"
"Down","KCNJ8","GSE18842"
"Down","NFIA","GSE18842"
"Down","RGL1","GSE18842"
"Down","MT1F","GSE18842"
"Down","TMPRSS2","GSE18842"
"Up","DIPK1A","GSE18842"
"Up","SOX15","GSE18842"
"Up","HOXA10","GSE18842"
"Up","ALDH3B2","GSE18842"
"Down","SLCO2B1","GSE18842"
"Up","TP63","GSE18842"
"Down","NINJ2","GSE18842"
"Down","RAB20","GSE18842"
"Down","MT1G","GSE18842"
"Up","SPRR3","GSE18842"
"Down","ADGRG6","GSE18842"
"Up","SPRR2A","GSE18842"
"Down","DEPP1","GSE18842"
"Up","KRT14","GSE18842"
"Down","RNPC3","GSE18842"
"Down","C1QC","GSE18842"
"Down","PRKD1","GSE18842"
"Down","NME5","GSE18842"
"Down","PCDH17","GSE18842"
"Up","ULBP2","GSE18842"
"Up","CXCL13","GSE18842"
"Down","MS4A4A","GSE18842"
"Down","FMO5","GSE18842"
"Down","SCGB3A2","GSE18842"
"Down","PARM1","GSE18842"
"Down","FAM20A","GSE18842"
"Up","NPM1","GSE18842"
"Down","TNFRSF10C","GSE18842"
"Down","TFPI","GSE18842"
"Up","SLC7A11","GSE18842"
"Up","ARTN","GSE18842"
"Up","ATP10B","GSE18842"
"Up","CPD","GSE18842"
"Up","RGS17","GSE18842"
"Up","CKS2","GSE18842"
"Up","MICALL1","GSE18842"
"Down","HMOX1","GSE18842"
"Down","PLAAT3","GSE18842"
"Down","CH25H","GSE18842"
"Down","CCR1","GSE18842"
"Up","LPAR3","GSE18842"
"Down","RNF182","GSE18842"
"Up","DHCR7","GSE18842"
"Down","KLF4","GSE18842"
"Up","LOX","GSE18842"
"Down","DNASE2B","GSE18842"
"Down","OSCP1","GSE18842"
"Up","LOXL1","GSE18842"
"Down","OASL","GSE18842"
"Up","LOXL2","GSE18842"
"Down","MAL","GSE18842"
"Down","MYH11","GSE18842"
"Down","MSRB3","GSE18842"
"Up","FOXD1","GSE18842"
"Down","G0S2","GSE18842"
"Down","FAT4","GSE18842"
"Up","ABTB3","GSE18842"
"Up","FGFBP1","GSE18842"
"Up","CEACAM5","GSE18842"
"Up","DSC2","GSE18842"
"Down","PLA2G10","GSE18842"
"Up","ITGA2","GSE18842"
"Down","SLCO4C1","GSE18842"
"Down","RSRP1","GSE18842"
"Down","SLC16A6","GSE18842"
"Up","PI15","GSE18842"
"Down","SCTR","GSE18842"
"Up","VCAN","GSE18842"
"Up","CBR1","GSE18842"
"Down","ID3","GSE18842"
"Up","SQLE","GSE18842"
"Down","NR4A3","GSE18842"
"Up","RCN3","GSE18842"
"Up","THY1","GSE18842"
"Down","TIPARP","GSE18842"
"Down","GNLY","GSE18842"
"Down","KLRB1","GSE18842"
"Down","ANPEP","GSE18842"
"Up","PODXL2","GSE18842"
"Down","DUSP6","GSE18842"
"Down","EVA1A","GSE18842"
"Up","EYA2","GSE18842"
"Up","TWIST1","GSE18842"
"Down","HLA-DPA1","GSE18842"
"Down","TSC22D3","GSE18842"
"Down","SLC40A1","GSE18842"
"Up","NDRG1","GSE18842"
"Down","SLC6A14","GSE18842"
"Down","ODAM","GSE18842"
"Down","SFTPA2","GSE18842"
"Down","FIBIN","GSE18842"
"Up","EFS","GSE18842"
"Up","IGFL2","GSE18842"
"Down","FAM107B","GSE18842"
"Down","CGN","GSE18842"
"Down","PCDH20","GSE18842"
"Down","KANK4","GSE18842"
"Down","SMAD7","GSE18842"
"Up","CEMIP","GSE18842"
"Down","DCSTAMP","GSE18842"
"Down","C1orf116","GSE18842"
"Down","C9orf152","GSE18842"
"Down","CYS1","GSE18842"
"Down","RFLNB","GSE18842"
"Down","GNA14","GSE18842"
"Up","EPHX3","GSE18842"
"Down","MCTP1","GSE18842"
"Down","CFH","GSE18842"
"Down","IL1B","GSE18842"
"Down","CNN1","GSE18842"
"Down","CLU","GSE18842"
"Down","SYDE2","GSE18842"
"Down","SAMSN1","GSE18842"
"Down","STXBP1","GSE18842"
"Up","SFN","GSE18842"
"Up","EHF","GSE18842"
"Down","FGL2","GSE18842"
"Down","ICAM1","GSE18842"
"Down","MT2A","GSE18842"
"Down","SLAIN1","GSE18842"
"Up","KRTCAP3","GSE18842"
"Up","TIMM8A","GSE18842"
"Down","RETREG1","GSE18842"
"Up","HOXC10","GSE18842"
"Down","CCL4","GSE18842"
"Down","HLA-DMB","GSE18842"
"Down","WSB1","GSE18842"
"Down","LCP1","GSE18842"
"Down","DMBT1","GSE18842"
"Up","PI3","GSE18842"
"Down","KIT","GSE18842"
"Up","CALML3","GSE18842"
"Up","COL6A3","GSE18842"
"Down","HS3ST2","GSE18842"
"Up","KRT19","GSE18842"
"Up","SESN3","GSE18842"
"Up","DNMT3B","GSE18842"
"Down","IL15","GSE18842"
"Down","TNS3","GSE18842"
"Up","KISS1R","GSE18842"
"Down","BEX4","GSE18842"
"Down","CADPS2","GSE18842"
"Down","NDRG2","GSE18842"
"Down","PRKAR2B","GSE18842"
"Up","DAPL1","GSE18842"
"Up","CFAP251","GSE18842"
"Up","BMP7","GSE18842"
"Up","CD24","GSE18842"
"Up","SV2A","GSE18842"
"Up","CYP2S1","GSE18842"
"Up","SULF2","GSE18842"
"Down","DTX4","GSE18842"
"Up","VSNL1","GSE18842"
"Down","PIGR","GSE18842"
"Up","SLC16A9","GSE18842"
"Up","TNC","GSE18842"
"Down","CD48","GSE18842"
"Down","TXNIP","GSE18842"
"Up","TNNT1","GSE18842"
"Down","RGS5","GSE18842"
"Down","EEF1A1","GSE18842"
"Down","BIRC3","GSE18842"
"Up","IL20RB","GSE18842"
"Down","SCNN1G","GSE18842"
"Down","CAPN8","GSE18842"
"Up","CLDN1","GSE18842"
"Down","CLEC4A","GSE18842"
"Up","VANGL2","GSE18842"
"Up","GAL","GSE18842"
"Down","SERPINA1","GSE18842"
"Up","GRHL3","GSE18842"
"Down","HHEX","GSE18842"
"Down","ERP27","GSE18842"
"Down","VMO1","GSE18842"
"Down","IRX2","GSE18842"
"Down","AREG","GSE18842"
"Down","DCN","GSE18842"
"Down","ITGAM","GSE18842"
"Down","SDR16C5","GSE18842"
"Down","SFTPB","GSE18842"
"Up","SLC4A11","GSE18842"
"Down","ME3","GSE18842"
"Up","FKBP11","GSE18842"
"Down","RND1","GSE18842"
"Up","H1-2","GSE18842"
"Up","RAPGEFL1","GSE18842"
"Down","TSPAN8","GSE18842"
"Down","MPEG1","GSE18842"
"Down","HLA-DRB1","GSE18842"
"Down","SDC4","GSE18842"
"Down","CLC","GSE18842"
"Down","MSLN","GSE18842"
"Up","MLLT11","GSE18842"
"Down","PLIN2","GSE18842"
"Down","PLAC8","GSE18842"
"Down","CIMAP3","GSE18842"
"Down","SCGB1A1","GSE18842"
"Down","CYBB","GSE18842"
"Up","KRT13","GSE18842"
"Up","FST","GSE18842"
"Up","LAMB3","GSE18842"
"Up","NUDT11","GSE18842"
"Up","RHCG","GSE18842"
"Down","TMEM255A","GSE18842"
"Up","ABCC1","GSE18842"
"Down","ST3GAL5","GSE18842"
"Down","SLC2A3","GSE18842"
"Up","NTS","GSE18842"
"Down","ID1","GSE18842"
"Up","LY6D","GSE18842"
"Up","TMPRSS11D","GSE18842"
"Up","KLHL13","GSE18842"
"Down","RNF128","GSE18842"
"Up","KIF21A","GSE18842"
"Down","RARRES2","GSE18842"
"Up","FHL2","GSE18842"
"Up","ADORA2B","GSE18842"
"Up","CLDN10","GSE18842"
"Down","NPY1R","GSE18842"
"Up","AKR1C2","GSE18842"
"Down","MS4A6A","GSE18842"
"Up","TMEM45A","GSE18842"
"Up","GCNT3","GSE18842"
"Up","LRRC1","GSE18842"
"Up","MMP10","GSE18842"
"Down","BCHE","GSE18842"
"Up","CAPNS2","GSE18842"
"Down","ACSL5","GSE18842"
"Up","HOXC6","GSE18842"
"Up","EPHA1","GSE18842"
"Down","TIMP3","GSE18842"
"Down","EGR2","GSE18842"
"Up","SLC20A2","GSE18842"
"Up","MMP13","GSE18842"
"Up","RGMA","GSE18842"
"Up","DNM1","GSE18842"
"Down","SNX10","GSE18842"
"Down","RSPO3","GSE18842"
"Up","SPAG4","GSE18842"
"Down","PTGS2","GSE18842"
"Up","GALNT3","GSE18842"
"Up","DYNC1I1","GSE18842"
"Down","MUC15","GSE18842"
"Up","CPXM1","GSE18842"
"Down","DDX3Y","GSE18842"
"Down","HLA-DRA","GSE18842"
"Down","LPCAT1","GSE18842"
"Down","ZFPM2","GSE18842"
"Up","STEAP1B","GSE18842"
"Up","COL12A1","GSE18842"
"Down","SLCO4A1","GSE18842"
"Down","RHOU","GSE18842"
"Down","LRRN4","GSE18842"
"Up","CD109","GSE18842"
"Down","SYBU","GSE18842"
"Down","KDM5D","GSE18842"
"Down","PLN","GSE18842"
"Up","MUC4","GSE18842"
"Down","EPDR1","GSE18842"
"Down","IGFBP6","GSE18842"
"Down","SERPINB1","GSE18842"
"Down","GPR171","GSE18842"
"Down","MUC1","GSE18842"
"Down","SLC47A1","GSE18842"
"Down","FMO3","GSE18842"
"Down","DPT","GSE18842"
"Down","LDLR","GSE18842"
"Down","HAS2","GSE18842"
"Up","MIX23","GSE18842"
"Up","SRXN1","GSE18842"
"Up","LEMD1","GSE18842"
"Down","PLEKHB1","GSE18842"
"Up","CYB5R2","GSE18842"
"Up","KLK6","GSE18842"
"Down","CD74","GSE18842"
"Down","SGCE","GSE18842"
"Up","PTGR1","GSE18842"
"Up","LRP4","GSE18842"
"Down","CXCL17","GSE18842"
"Up","PCDH19","GSE18842"
"Down","RBP7","GSE18842"
"Down","LYZ","GSE18842"
"Up","ALDH3A1","GSE18842"
"Down","CCN1","GSE18842"
"Up","SNAI2","GSE18842"
"Up","ADAM23","GSE18842"
"Up","NANOS1","GSE18842"
"Down","CRYM","GSE18842"
"Down","MAOA","GSE18842"
"Down","CYTIP","GSE18842"
"Up","NELL2","GSE18842"
"Down","APOD","GSE18842"
"Down","IL7R","GSE18842"
"Up","WNT5A","GSE18842"
"Down","GPR34","GSE18842"
"Down","GPAT3","GSE18842"
"Down","C3","GSE18842"
"Up","MRAP2","GSE18842"
"Down","PON3","GSE18842"
"Up","MN1","GSE18842"
"Up","FMO1","GSE18842"
"Up","TPD52L1","GSE18842"
"Up","MAP1B","GSE18842"
"Up","EEF1A2","GSE18842"
"Up","GCLM","GSE18842"
"Down","KRT7","GSE18842"
"Up","EPPK1","GSE18842"
"Up","CYP26A1","GSE18842"
"Up","FZD10","GSE18842"
"Up","PXDN","GSE18842"
"Down","HLA-DQB1","GSE18842"
"Up","CP","GSE18842"
"Down","HSPA6","GSE18842"
"Up","SBSN","GSE18842"
"Down","MEOX2","GSE18842"
"Up","FHOD3","GSE18842"
"Up","SGPP2","GSE18842"
"Up","PDGFRL","GSE18842"
"Up","DMRT2","GSE18842"
"Up","C12orf75","GSE18842"
"Down","DYNLRB2","GSE18842"
"Down","CCL5","GSE18842"
"Up","TDO2","GSE18842"
"Up","MUC20","GSE18842"
"Up","SLC16A14","GSE18842"
"Down","KDR","GSE18842"
"Down","GBP3","GSE18842"
"Down","PRR15L","GSE18842"
"Up","SFRP2","GSE18842"
"Down","BEX5","GSE18842"
"Down","MT1X","GSE18842"
"Down","PTX3","GSE18842"
"Up","TCN1","GSE18842"
"Up","SERPINB2","GSE18842"
"Up","NDUFA4L2","GSE18842"
"Up","AIM2","GSE18842"
"Down","CTSE","GSE18842"
"Down","TMC5","GSE18842"
"Up","CRISPLD1","GSE18842"
"Up","COMP","GSE18842"
"Down","PLAAT4","GSE18842"
"Up","PIR","GSE18842"
"Up","ILF2","GSE18842"
"Up","PCP4","GSE18842"
"Down","CFAP126","GSE18842"
"Down","APOBEC3A","GSE18842"
"Up","LCN2","GSE18842"
"Up","TOX3","GSE18842"
"Down","CIMIP1","GSE18842"
"Down","GPC3","GSE18842"
"Down","SPMIP6","GSE18842"
"Up","SPINK1","GSE18842"
"Down","C19orf33","GSE18842"
"Up","UBD","GSE18842"
"Down","SOSTDC1","GSE18842"
"Up","BPIFA1","GSE18842"
"Up","CALML5","GSE18842"
"Up","POU2AF1","GSE18842"
"Up","DKK1","GSE18842"
"Up","TPRG1","GSE18842"
"Down","RSPH1","GSE18842"
"Down","PLA2G2A","GSE18842"
"Up","GSTA1","GSE18842"
"Down","AADAC","GSE18842"
"Down","FGG","GSE18842"
"Up","SLITRK6","GSE18842"
"Down","S100A8","GSE18842"
"Down","CEACAM6","GSE18842"
"Up","AKR1C3","GSE18842"
"Down","KRT4","GSE18842"
"Up","MMP7","GSE18842"
"Up","LTF","GSE18842"
"Down","ADAMTS8","GSE19188"
"Down","AGER","GSE19188"
"Down","GKN2","GSE19188"
"Down","CLIC5","GSE19188"
"Down","LRRC36","GSE19188"
"Down","FAM107A","GSE19188"
"Down","MAMDC2","GSE19188"
"Down","ACADL","GSE19188"
"Down","CA4","GSE19188"
"Down","TNNC1","GSE19188"
"Down","TCF21","GSE19188"
"Down","IGSF10","GSE19188"
"Down","ARHGAP31","GSE19188"
"Down","GLDN","GSE19188"
"Down","PTPRB","GSE19188"
"Down","ENTREP1","GSE19188"
"Down","GPM6A","GSE19188"
"Down","STX11","GSE19188"
"Down","SLC46A2","GSE19188"
"Down","MCEMP1","GSE19188"
"Down","FCN3","GSE19188"
"Down","EDNRB","GSE19188"
"Down","MYZAP","GSE19188"
"Down","GDF10","GSE19188"
"Down","VEPH1","GSE19188"
"Down","PLA2G1B","GSE19188"
"Down","CLDN18","GSE19188"
"Down","NOSTRIN","GSE19188"
"Down","RAMP3","GSE19188"
"Up","UBE2T","GSE19188"
"Down","EMCN","GSE19188"
"Down","ECSCR","GSE19188"
"Down","SUSD2","GSE19188"
"Down","ITIH5","GSE19188"
"Down","MYCT1","GSE19188"
"Down","ABCA8","GSE19188"
"Down","CLEC3B","GSE19188"
"Down","ACVRL1","GSE19188"
"Down","STARD13","GSE19188"
"Down","GPR146","GSE19188"
"Down","DUOX1","GSE19188"
"Down","DPEP2","GSE19188"
"Down","ALKAL2","GSE19188"
"Down","LGI3","GSE19188"
"Down","RAP1A","GSE19188"
"Down","SYNE1","GSE19188"
"Down","PHACTR1","GSE19188"
"Down","INMT","GSE19188"
"Down","ARHGEF15","GSE19188"
"Down","JAM2","GSE19188"
"Down","VSIG2","GSE19188"
"Down","TMEM100","GSE19188"
"Down","KANK3","GSE19188"
"Down","MMRN2","GSE19188"
"Down","FABP4","GSE19188"
"Down","GPIHBP1","GSE19188"
"Up","PAFAH1B3","GSE19188"
"Down","GRK5","GSE19188"
"Down","MTARC2","GSE19188"
"Down","COL6A6","GSE19188"
"Down","SPTBN1","GSE19188"
"Down","GNAQ","GSE19188"
"Down","CDH5","GSE19188"
"Down","SLIT3","GSE19188"
"Down","VWF","GSE19188"
"Down","HSD17B6","GSE19188"
"Up","TOP2A","GSE19188"
"Down","CPED1","GSE19188"
"Down","DENND3","GSE19188"
"Up","MIF","GSE19188"
"Down","DLC1","GSE19188"
"Down","ANGPTL1","GSE19188"
"Down","RGCC","GSE19188"
"Down","PALMD","GSE19188"
"Down","C1QTNF7","GSE19188"
"Down","HHIP","GSE19188"
"Up","KIF4A","GSE19188"
"Down","ABI3BP","GSE19188"
"Down","ADRB2","GSE19188"
"Down","LDB2","GSE19188"
"Down","FHL5","GSE19188"
"Down","ESAM","GSE19188"
"Down","ZNF106","GSE19188"
"Down","FOXF1","GSE19188"
"Down","CHRDL1","GSE19188"
"Down","ERG","GSE19188"
"Down","SEMA3G","GSE19188"
"Down","HIGD1B","GSE19188"
"Down","ROBO4","GSE19188"
"Down","CAVIN2","GSE19188"
"Down","DOCK4","GSE19188"
"Down","S1PR1","GSE19188"
"Up","UBE2C","GSE19188"
"Down","KLF2","GSE19188"
"Down","EMP2","GSE19188"
"Down","OTUD1","GSE19188"
"Down","FXYD1","GSE19188"
"Down","CD36","GSE19188"
"Up","CDC20","GSE19188"
"Down","ITGA1","GSE19188"
"Down","ANKRD29","GSE19188"
"Down","FGD5","GSE19188"
"Down","ZNF385B","GSE19188"
"Up","CCNB1","GSE19188"
"Down","AOC3","GSE19188"
"Up","CCNB2","GSE19188"
"Down","ITGA8","GSE19188"
"Down","TACC1","GSE19188"
"Down","DAPK2","GSE19188"
"Up","TPX2","GSE19188"
"Down","CLEC1A","GSE19188"
"Down","PEAK1","GSE19188"
"Down","PEBP4","GSE19188"
"Down","SCN7A","GSE19188"
"Up","HJURP","GSE19188"
"Up","NME1","GSE19188"
"Down","CAPN3","GSE19188"
"Up","GINS1","GSE19188"
"Down","SLC39A8","GSE19188"
"Up","DLGAP5","GSE19188"
"Down","APOBR","GSE19188"
"Down","FILIP1","GSE19188"
"Down","ADAMTSL3","GSE19188"
"Down","CYP4B1","GSE19188"
"Down","WWC2","GSE19188"
"Down","TGFBR3","GSE19188"
"Down","STARD8","GSE19188"
"Up","MELK","GSE19188"
"Up","AURKA","GSE19188"
"Down","HSPB8","GSE19188"
"Down","MFAP4","GSE19188"
"Down","PPBP","GSE19188"
"Up","BIRC5","GSE19188"
"Down","RILPL2","GSE19188"
"Down","FGR","GSE19188"
"Down","SCN4B","GSE19188"
"Up","CDCA8","GSE19188"
"Down","CAV1","GSE19188"
"Up","PRC1","GSE19188"
"Up","CDKN3","GSE19188"
"Down","KCNT2","GSE19188"
"Up","SPP1","GSE19188"
"Down","SH2D3C","GSE19188"
"Down","CLEC14A","GSE19188"
"Down","LYVE1","GSE19188"
"Down","SPOCK2","GSE19188"
"Down","MARCO","GSE19188"
"Down","FCN1","GSE19188"
"Down","TNS1","GSE19188"
"Down","SCARA5","GSE19188"
"Down","CCM2L","GSE19188"
"Down","ADH1B","GSE19188"
"Down","VIPR1","GSE19188"
"Down","RBMS3","GSE19188"
"Down","FHL1","GSE19188"
"Down","ARHGAP44","GSE19188"
"Up","PCLAF","GSE19188"
"Down","SLC6A4","GSE19188"
"Up","MKI67","GSE19188"
"Down","GIMAP1","GSE19188"
"Down","PALM2AKAP2","GSE19188"
"Down","PDZD2","GSE19188"
"Down","RASL12","GSE19188"
"Down","NOTCH4","GSE19188"
"Down","RNF125","GSE19188"
"Down","FRY","GSE19188"
"Down","KCNK3","GSE19188"
"Down","DUOXA1","GSE19188"
"Up","NUSAP1","GSE19188"
"Down","SLIT2","GSE19188"
"Down","TIE1","GSE19188"
"Down","SASH1","GSE19188"
"Down","CFD","GSE19188"
"Down","SELP","GSE19188"
"Up","NUF2","GSE19188"
"Down","GIMAP8","GSE19188"
"Up","CENPF","GSE19188"
"Down","ATP1A2","GSE19188"
"Down","PPP1R14A","GSE19188"
"Down","RAI2","GSE19188"
"Down","ADIRF","GSE19188"
"Down","SHROOM4","GSE19188"
"Up","STIL","GSE19188"
"Up","NCAPG","GSE19188"
"Down","PEAR1","GSE19188"
"Up","KIF2C","GSE19188"
"Down","CX3CR1","GSE19188"
"Down","SLC27A3","GSE19188"
"Down","SNRK","GSE19188"
"Up","PYCR1","GSE19188"
"Down","AQP4","GSE19188"
"Down","PECAM1","GSE19188"
"Down","OSCAR","GSE19188"
"Up","CDCA3","GSE19188"
"Down","LRRK2","GSE19188"
"Down","AK1","GSE19188"
"Down","BTNL9","GSE19188"
"Down","ADGRD1","GSE19188"
"Down","MYOCD","GSE19188"
"Up","COL11A1","GSE19188"
"Up","BUB1B","GSE19188"
"Down","FMO2","GSE19188"
"Down","WFS1","GSE19188"
"Up","ZWINT","GSE19188"
"Up","SPATS2","GSE19188"
"Up","CEP55","GSE19188"
"Down","OLR1","GSE19188"
"Down","RFX2","GSE19188"
"Down","PCDH12","GSE19188"
"Down","KCNJ15","GSE19188"
"Down","ANGPT1","GSE19188"
"Down","SGCG","GSE19188"
"Down","ABCA3","GSE19188"
"Down","NDNF","GSE19188"
"Down","SHE","GSE19188"
"Down","LIMS2","GSE19188"
"Down","SOX7","GSE19188"
"Up","MCM4","GSE19188"
"Up","CDCA5","GSE19188"
"Up","GMNN","GSE19188"
"Down","SNX25","GSE19188"
"Up","CTHRC1","GSE19188"
"Down","ADCY4","GSE19188"
"Up","TTK","GSE19188"
"Down","C7","GSE19188"
"Up","GINS2","GSE19188"
"Down","SEMA5A","GSE19188"
"Down","NTN4","GSE19188"
"Down","KANK2","GSE19188"
"Down","CPAMD8","GSE19188"
"Down","CFP","GSE19188"
