XDH
SLC16A3
RAD51
PTGS2
PLK1
PIK3R1
PGF
PFKFB3
PDK4
PARP1
P4HB
NR4A2
NQO1
NOX4
MMP9
MMP13
MMP12
MCL1
MAOB
MAOA
KIT
KDR
KCNA5
HSD17B1
FEN1
EEF1A2
EEF1A1
DAPK1
CYP1B1
CXCL12
CFTR
CDK5
CDK1
CALM1
CA9
CA4
CA2
CA12
AURKB
AR
ALOX5
ALDH2
AKR1B10
ABCG2
ABCB1
NEK2
MIF
CCNB1
BCHE
AXL
QDPR
TOP2A
PTPN1
PLA2G1B
APEX1
TNNC1
SLC28A3
PTGES
PRKCZ
PRKCH
PRKCE
PRKCB
PDE5A
P2RY14
KISS1R
IL6
FGF2
F10
CCNA2
ALDH1A2
TYMS
THRB
STAT1
SNCA
PPARG
PDK1
PDGFRB
HSD11B1
DNMT1
DNM1
CHEK1
AURKA
ALOX5AP
SLC2A1
PLAU
MGAM
IGFBP6
IGFBP3
IGFBP2
PMM2
MYLK
HSP90B1
