"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"CCNB2",3.79969762645141,7.26397222728587,22.1736137061048,1.03740368448573e-38,5.07826989826185e-36,77.7604524571655,"Up"
"ABCA8",-3.80626212247148,6.45678277423152,-22.162760263983,1.07765100783921e-38,5.09944456909516e-36,77.7226980853767,"Down"
"DLGAP5",3.80464763259793,5.95774866658934,22.1123475097658,1.28627089258612e-38,5.89029083585566e-36,77.5471613995834,"Up"
"UBE2T",3.17110513456816,6.85106336831551,21.8458708223043,3.2929367942302e-38,1.46082908534037e-35,76.6145475145002,"Up"
"EMCN",-3.3680010313965,7.17831148914846,-21.7705443952693,4.30131409126293e-38,1.85034711635056e-35,76.3494662387309,"Down"
"RRM2",3.97220624691248,7.9189880692117,21.5077944124636,1.09756140804045e-37,4.58264169074772e-35,75.4197658113991,"Up"
"ADH1B",-5.36027039731467,8.52115143543067,-21.4716553586677,1.24924066419541e-37,5.06692013397657e-35,75.2912754558147,"Down"
"MIF",1.66687179075459,11.9157125203893,21.2261664104027,3.02141748073288e-37,1.191445626569e-34,74.4144712437774,"Up"
"ECSCR",-2.32872874939045,7.50431007512556,-21.2052389182374,3.25870812794118e-37,1.25028704281765e-34,74.3394028985963,"Down"
"HIGD1B",-2.85924517820019,6.59393382155975,-21.1739387119027,3.64917687221628e-37,1.36325565468375e-34,74.227032050223,"Down"
"NPR1",-1.48735442764002,6.98239813539907,-21.0362280386708,6.01187578632611e-37,2.18832278622271e-34,73.7312832028562,"Down"
"KANK3",-2.48117937774714,6.63407472267846,-20.6664348718485,2.32208679389701e-36,8.2410860315405e-34,72.3890650273999,"Down"
"PRC1",3.3703252764407,6.99521518735356,20.6485921846154,2.47952153538728e-36,8.58519212594094e-34,72.3238948663648,"Up"
"CCNB1",3.25975511420704,6.23122697881086,20.5850468277084,3.13300243186325e-36,1.05895482196978e-33,72.0914899993135,"Up"
"ADAMTS8",-2.63456942634779,6.04678354996438,-20.5480073844853,3.59146049122473e-36,1.18568309612619e-33,71.9558043991732,"Down"
"MYCT1",-1.42363855817976,5.74539474321872,-20.4083408406335,6.01919492238508e-36,1.94201116177679e-33,71.4426996886894,"Down"
"GINS1",3.53170953804614,5.7746625259621,20.3477331917097,7.53642339421475e-36,2.37749036676161e-33,71.2193163228712,"Up"
"CDK1",3.0022161072434,7.06739426964616,20.3364274153467,7.85954260169579e-36,2.42552319073203e-33,71.1775976873515,"Up"
"MCEMP1",-4.34431012642772,8.63029133457811,-20.3153667102347,8.49919146435387e-36,2.56711748995676e-33,71.0998422915235,"Down"
"GAPDH",0.89132760136745,13.8223307300667,20.279326677554,9.71803843946384e-36,2.87410986847143e-33,70.966660478121,"NS"
"TMOD1",-1.50922558569021,5.82674269056913,-20.2405314853085,1.12280098504082e-35,3.25291485380399e-33,70.8231232136314,"Down"
"BIRC5",2.93757108806404,6.07738397608562,20.0736170120033,2.09433748923555e-35,5.94624299943757e-33,70.2034967089335,"Up"
"MYZAP",-2.66893083701749,6.16736128091165,-19.9991914316034,2.76839843517812e-35,7.70591846780168e-33,69.9261279732615,"Down"
"MCM2",2.9387635748936,7.74914265219392,19.9776643489805,3.00146070718981e-35,8.19398773062819e-33,69.8457760770637,"Up"
"PEBP4",-4.52576462074288,7.63451026618381,-19.9417756809418,3.43486011519015e-35,9.2002404141961e-33,69.7116934019298,"Down"
"JAM2",-2.67402792706358,7.20624010535349,-19.8315977383372,5.20178920747429e-35,1.36749258498713e-32,69.2990842660922,"Down"
"KIF20A",2.74614044659856,6.50164556090343,19.7878220835102,6.13678297840624e-35,1.58395947566282e-32,69.1347376529876,"Up"
"SCN7A",-2.49302195759252,4.84716714432702,-19.782222977645,6.26801359236154e-35,1.58894144566365e-32,69.1137001390557,"Down"
"ORC6",2.45581601967743,6.78187603835844,19.7582544407236,6.86254268365093e-35,1.70913431468612e-32,69.0235999999041,"Up"
"KIF4A",3.15506889506858,5.72265047108089,19.712823023892,8.15009799226856e-35,1.99480674307318e-32,68.8526264701051,"Up"
"HJURP",2.49519893117952,5.58635524343185,19.6598517839565,9.96252387040685e-35,2.39708455702196e-32,68.6529598205308,"Up"
"N4BP2L1",-0.99356906622919,5.91278792268426,-19.4871584900601,1.92171125367703e-34,4.54676882619985e-32,67.9996340578941,"NS"
"KIF2C",2.44217510986442,6.34486068536635,19.4144003735086,2.53724845850262e-34,5.90471788801691e-32,67.7232821345304,"Up"
"CCM2L",-2.44621089268543,6.73057454643726,-19.3279330728306,3.53293884703379e-34,8.08929030201479e-32,67.3940114938309,"Down"
"ZWINT",2.90278038256689,7.63508940175604,19.2330868296869,5.08502146014685e-34,1.14582483568642e-31,67.0317716411932,"Up"
"GRK5",-1.74075677376756,6.72463952718881,-19.1293085364057,7.58379231354502e-34,1.68217993254821e-31,66.6341420197086,"Down"
"AURKA",2.77319358030716,6.40686039903054,19.1193752381591,7.88010515701399e-34,1.72101496629186e-31,66.5960122269842,"Up"
"BUB1B",3.34557904409228,6.37086735832575,19.0636432882671,9.77283890915233e-34,2.10204880536858e-31,66.3818531429041,"Up"
"ASPA",-1.37140882762592,4.62636612110939,-18.8711128064853,2.06182246203008e-33,4.36860174193717e-31,65.6390473270998,"Down"
"CCNA2",2.73611650298788,5.7611368860018,18.7737368808087,3.01291739098189e-33,6.22262960660802e-31,65.2615963569441,"Up"
"NUSAP1",3.00799650547102,6.96504468197854,18.7727513679303,3.02452411141134e-33,6.22262960660802e-31,65.2577702194018,"Up"
"CDKN3",3.04649318326801,6.29619761686675,18.7689554211169,3.06965301235775e-33,6.22525630906152e-31,65.243031766369,"Up"
