"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"SPAAR",-2.64405387927115,6.00202000873008,-17.4129802880267,6.48633376650252e-11,8.95308649790343e-07,14.8291094866531,"Down"
"TEK",-2.65632242451318,4.46237551591688,-13.6205955015055,1.70955714991619e-09,7.21651425130797e-06,12.0134905733379,"Down"
"SEMA6A",-2.76893430121182,6.79464027879137,-13.5011621414367,1.91907953543042e-09,7.21651425130797e-06,11.9097263352707,"Down"
"BTNL9",-2.77541681702373,5.58584953795616,-13.412975238959,2.09128863328493e-09,7.21651425130797e-06,11.8324300402212,"Down"
"MME",-3.18204639229842,5.98111700469823,-13.1197376699531,2.79289973728315e-09,7.71007901474385e-06,11.5711800792235,"Down"
"RTKN2",-3.61751025143784,6.05572445597241,-12.5305975638968,5.08076873729259e-09,9.47886577153235e-06,11.0259460026349,"Down"
"STXBP6",-2.73542500045431,5.66266311506872,-12.5130444191293,5.17404753020607e-09,9.47886577153235e-06,11.0092697952257,"Down"
"IGSF10",-3.02163869426416,6.02949047692271,-12.431915205084,5.62950684495932e-09,9.47886577153235e-06,10.9318611405414,"Down"
"CLEC1A",-2.78859631442085,7.29758239159116,-12.1972441149301,7.20444076049533e-09,9.47886577153235e-06,10.7048346694341,"Down"
"GRK5",-1.98805102210035,6.86984544381307,-12.1358986503567,7.68936481373193e-09,9.47886577153235e-06,10.6447128463263,"Down"
"PALD1",-1.5943097112572,7.14450441372299,-11.9342491224163,9.54407491592852e-09,9.47886577153235e-06,10.4447802258999,"Down"
"NOTCH4",-1.79354211103687,7.02433047794134,-11.9083487852203,9.81483308530138e-09,9.47886577153235e-06,10.4188414107254,"Down"
"SLC6A4",-4.33758514187273,5.38043024880266,-11.8728828373338,1.01989304836243e-08,9.47886577153235e-06,10.3832261761582,"Down"
"TNNC1",-2.53569572414525,7.22208831671689,-11.8649807232021,1.02866713980494e-08,9.47886577153235e-06,10.3752755494712,"Down"
"FABP4",-3.33084736478007,6.65192656062756,-11.8637082121198,1.03008756482638e-08,9.47886577153235e-06,10.3739947057962,"Down"
"TBX3",-2.1266012987885,5.83255811639001,-11.7923966861338,1.11312318661093e-08,9.60277459049418e-06,10.3019847919511,"Down"
"SHANK3",-2.25556481845869,7.71554904754222,-11.3171341665802,1.88506627751595e-08,1.53056293109133e-05,9.81020876856235,"Down"
"GIMAP8",-2.41002267106601,6.93127649199484,-11.2172098338161,2.11070108319104e-08,1.59718663365749e-05,9.70412343417478,"Down"
"CDH5",-2.27433553231697,8.23738292442874,-11.1520837477387,2.27310562676691e-08,1.59718663365749e-05,9.63446666222452,"Down"
"PTPRB",-2.40487060404868,6.55870144901451,-11.1363656208289,2.31426013715495e-08,1.59718663365749e-05,9.61759373031874,"Down"
"FAT3",-2.58453679909533,4.63023847834153,-10.8854551264844,3.09047033101521e-08,2.03132199900014e-05,9.34497919027059,"Down"
"EFCC1",-1.83751329937992,6.01098409916092,-10.7987517258048,3.41957235455114e-08,2.14547078226679e-05,9.24932582480434,"Down"
"CCM2L",-2.83023342779214,5.43711615848544,-10.7555598738279,3.59724298270849e-08,2.15881499523154e-05,9.20139353788793,"Down"
"FGD5",-1.86071161570366,7.01258113183437,-10.2622142443048,6.49140951865483e-08,3.73337189941636e-05,8.64028031763259,"Down"
"NDRG4",-2.4373844774548,6.70525680527385,-10.1127789652839,7.79650361226763e-08,4.30460557440521e-05,8.46524532329767,"Down"
"EDNRB",-3.40309447192514,6.68176426127256,-10.0644552681079,8.27604983503241e-08,4.38986235201856e-05,8.40812538009137,"Down"
"ABCA9",-2.0145173507251,5.69956743296505,-10.0014421385724,8.94893391236362e-08,4.38986235201856e-05,8.3332581708582,"Down"
"TRPC6",-2.13952506326492,5.43241956328869,-9.97794301851642,9.21453914232913e-08,4.38986235201856e-05,8.30522655727515,"Down"
"TTLL7",-1.74541270023122,4.8585377810277,-9.96789607583141,9.3306406640346e-08,4.38986235201856e-05,8.29322316241843,"Down"
"RHOJ",-2.01672658176326,6.63661583555526,-9.94037336287544,9.65671854146039e-08,4.38986235201856e-05,8.2602837115073,"Down"
"FCN3",-3.21853120786457,6.93007236832824,-9.91006487313869,1.00298489472798e-07,4.38986235201856e-05,8.2239129935078,"Down"
"MCAM",-1.27489846642443,5.97246437964164,-9.89842595769322,1.0177178531087e-07,4.38986235201856e-05,8.20991894078978,"Down"
"VIPR1",-2.82091338121112,8.86727492395101,-9.83813675776201,1.0978011302177e-07,4.5918027273924e-05,8.13718813335108,"Down"
"SASH1",-1.75264952865332,6.86760130461596,-9.81277742590153,1.13346159934103e-07,4.60152072226596e-05,8.1064738276479,"Down"
"TMEM100",-4.46925226214074,6.74504665365785,-9.76772535815757,1.19988182269398e-07,4.73199108532715e-05,8.05172981180213,"Down"
"OR5P3",-2.17437595350667,4.68195446422661,-9.74337117261376,1.23749669725638e-07,4.7447685867305e-05,8.0220408736606,"Down"
"MYZAP",-2.4151825864646,6.20537590042862,-9.71610103307635,1.28110559889042e-07,4.77921637337417e-05,7.98871743012568,"Down"
"FAM107A",-2.18417076550038,5.95969707932101,-9.59724798791595,1.49112552014941e-07,5.41631725121641e-05,7.84249108285122,"Down"
"PECAM1",-1.77607958621072,9.63135556605844,-9.54525358765088,1.59422607944225e-07,5.61283291550008e-05,7.77801124430734,"Down"
"AGER",-2.23651709489791,5.73829040698904,-9.52968235946361,1.62655449264655e-07,5.61283291550008e-05,7.75864001619062,"Down"
"CD36",-2.50252139610693,6.52129128878407,-9.48232151364576,1.7292306660652e-07,5.82160265456049e-05,7.69954805948744,"Down"
"ARHGAP6",-1.77795641801814,5.43436551130522,-9.39666219812197,1.93280439386558e-07,6.10886011663579e-05,7.59200560351912,"Down"
"WFDC2",2.29977926931084,8.1803541187125,9.39068765491841,1.94792124465582e-07,6.10886011663579e-05,7.58447261755923,"Up"
"GHR",-2.43781915573436,5.38787959227446,-9.37892521196674,1.97805041725014e-07,6.10886011663579e-05,7.56962967955694,"Down"
"AFAP1L1",-1.48000588766259,5.85726997969942,-9.37370238861431,1.99158664963132e-07,6.10886011663579e-05,7.56303380595192,"Down"
"CLEC14A",-1.20810472343285,6.55806901327785,-9.31596400806716,2.14795117633149e-07,6.44525436671816e-05,7.48990134877526,"Down"
"ANKRD29",-2.9081506629377,5.68072738480501,-9.29440549210279,2.2096293159376e-07,6.48925818040141e-05,7.46249354248844,"Down"
"TIE1",-2.02933130055768,6.15978507569492,-9.22590349971461,2.41839408858209e-07,6.95439450097887e-05,7.37503758185391,"Down"
"CAVIN2",-2.55471799899584,6.56790040876965,-9.18292058628838,2.55999005566259e-07,7.21133525271646e-05,7.31987450997784,"Down"
"MMRN2",-1.3994405158506,5.43378512787551,-9.13821604760131,2.71662371917247e-07,7.49951143914752e-05,7.26226576871487,"Down"
"SPTBN1",-1.29108871701578,7.42709807130784,-9.11653430031833,2.79622123440422e-07,7.567890529114e-05,7.23423841115557,"Down"
"GPM6A",-2.79504353366313,4.50540689745517,-9.09258315180349,2.88703262497239e-07,7.60992677686965e-05,7.20321114805215,"Down"
"ADCY4",-1.96568012033709,7.22766712238283,-9.07928710728698,2.9387898447589e-07,7.60992677686965e-05,7.18595681533494,"Down"
"ACVRL1",-1.8886329148607,7.1938588757673,-9.0695917936695,2.97715022785598e-07,7.60992677686965e-05,7.17336159046077,"Down"
"PTPRD",-1.73296038587921,5.6595234391993,-9.04148509365485,3.0913868606591e-07,7.65075902153543e-05,7.13678322744991,"Down"
"CAVIN1",-1.7518311845478,7.03863925308911,-9.03177761735616,3.13191379216929e-07,7.65075902153543e-05,7.12412737944561,"Down"
"LYVE1",-2.5709064432815,5.2204823693452,-8.99438228237486,3.29337358083082e-07,7.65075902153543e-05,7.07526633845768,"Down"
"LIMS2",-1.51601424484882,7.37774444119107,-8.99179926282672,3.30484715417718e-07,7.65075902153543e-05,7.07188500625817,"Down"
"NDRG2",-1.67041112654208,6.99699337929763,-8.98342762150837,3.34232539625962e-07,7.65075902153543e-05,7.06092037194289,"Down"
"TLNRD1",-1.54690337601053,6.69448672720183,-8.97245058165772,3.39215139527883e-07,7.65075902153543e-05,7.04653028672836,"Down"
"MACF1",-1.37710660012322,9.39127171880797,-8.96988374516024,3.40391572885123e-07,7.65075902153543e-05,7.04316321372126,"Down"
"CLDN18",-3.15395540446933,7.87665890257152,-8.95807782831648,3.4585841413162e-07,7.65075902153543e-05,7.02766622852037,"Down"
"SPOCK2",-1.53896010008953,6.70922550592827,-8.95096300760595,3.49197868837739e-07,7.65075902153543e-05,7.01831868741304,"Down"
"PHLDB2",-1.85412780991145,7.42345920494716,-8.93775446469794,3.55488443225658e-07,7.66688590913087e-05,7.00094856229189,"Down"
"KANK3",-2.52015570552007,6.55874212790727,-8.90313503630695,3.72552650099935e-07,7.91129881435293e-05,6.9553192478815,"Down"
"MOCS1",-1.22869645735354,6.06686173468835,-8.84828676660015,4.01388362427781e-07,8.3944902524101e-05,6.88272314849844,"Down"
"ROBO4",-2.18496228879548,6.3183599766012,-8.83313448673409,4.09764749850561e-07,8.44176543610045e-05,6.86260180267239,"Down"
"PDE8B",-1.41883081398849,6.18550658134405,-8.80099415496147,4.28151513057777e-07,8.69084608049485e-05,6.81982628004168,"Down"
"SEC14L1",-1.03026284626801,8.15495935300205,-8.67900630603943,5.06296471205334e-07,0.000100710220160757,6.65629055000088,"Down"
"STARD9",-1.74312699556346,6.95567863204408,-8.67268393347321,5.10737912863363e-07,0.000100710220160757,6.64776355199773,"Down"
"EPB41L2",-1.52218317826335,9.30807698054312,-8.6585824204249,5.20793491497591e-07,0.000101246655818891,6.62872651493162,"Down"
"SH2D3C",-1.36771233639765,6.62315329476793,-8.62401513091493,5.46340278786871e-07,0.0001047379842791,6.58195362578049,"Down"
"FGFR4",-1.1543452174758,5.83915755150916,-8.5759740566683,5.84070394314406e-07,0.000110437310311257,6.51669603803641,"Down"
"PPFIBP1",-1.47735579137828,6.42480534016514,-8.5444456462441,6.10324280859791e-07,0.000113293779450394,6.47370800645728,"Down"
"ADGRL2",-2.45757080936668,6.12446326563097,-8.53829129052126,6.15593237613531e-07,0.000113293779450394,6.46530182587966,"Down"
"LAMA3",-2.09213452694334,6.68697037114902,-8.5157418368141,6.35313798206125e-07,0.000115384688903147,6.43446004915016,"Down"
"FZD4",-1.25327798972529,6.72985435481874,-8.4821667167761,6.65925541420798e-07,0.000118959679347021,6.38841645690691,"Down"
"ASPA",-2.2075652664178,4.88384118501558,-8.46910363036304,6.78254182670378e-07,0.000118959679347021,6.37046286186031,"Down"
"ARHGEF15",-1.69398351045696,6.93813927572949,-8.4663820226052,6.80853051395689e-07,0.000118959679347021,6.36671956664586,"Down"
"FOXF1",-2.50855471981123,7.63749327564502,-8.44726124616857,6.99411291507803e-07,0.000120674675708528,6.34039380051763,"Down"
"TCF21",-2.22056989888346,6.70230781290035,-8.42542934657306,7.2125749410309e-07,0.000122907619643271,6.31027726946137,"Down"
"ADRB2",-2.07877714550715,7.58785043172211,-8.3906053090084,7.57612065542454e-07,0.000127528284642469,6.26211001357975,"Down"
"CCDC50",-1.19324656604552,6.47589942407048,-8.36403039496456,7.86657543174424e-07,0.000130766600440818,6.22524614669868,"Down"
"SYCP2L",-1.64572074682488,4.99088528981313,-8.35588209105427,7.95797611898047e-07,0.000130766600440818,6.21392457725061,"Down"
"FHL1",-2.76558603427232,7.35453941784315,-8.3297694154788,8.25853382636071e-07,0.000134108873417949,6.1775839911685,"Down"
"LRRC32",-1.43818686539762,7.03311289515496,-8.26458200685426,9.06248508177904e-07,0.000144762537021827,6.08647254176849,"Down"
"RIPOR1",-1.19511938762896,7.8909899374249,-8.25982172420661,9.12435030131057e-07,0.000144762537021827,6.07979721614759,"Down"
"MYCT1",-1.65174224789381,5.34053679574482,-8.23581914982697,9.44316888283517e-07,0.000147217568561878,6.04609285567233,"Down"
"QKI",-1.12682640175697,7.10623875078809,-8.23218906754704,9.49240281243727e-07,0.000147217568561878,6.0409888638469,"Down"
"IL7R",-2.18876699998148,8.66155961299014,-8.19027966593942,1.00808847981148e-06,0.000154607169853754,5.98193655921413,"Down"
"SH3D19",-1.10396609516089,8.24363888897033,-8.16517135547982,1.04518301763755e-06,0.000158534738378583,5.94644593935539,"Down"
"ERG",-1.71614194191894,6.73412599935718,-8.15588833053098,1.05926073558464e-06,0.000158923651448639,5.93330310759442,"Down"
"KCNK3",-1.63246451757743,6.19568142370481,-8.12640879504799,1.10531149710555e-06,0.000164049619296215,5.89148995176665,"Down"
"GPIHBP1",-1.92641880940699,5.45553619786681,-8.06767507514549,1.2034887405863e-06,0.000176720798790561,5.80783646988122,"Down"
"TGFBR3",-2.80369443954186,7.12648760189418,-7.95874415078647,1.41079696177222e-06,0.000204331002121617,5.65145834786694,"Down"
"FERMT2",-1.50281407083143,8.16205881099242,-7.95258851198831,1.42358581525916e-06,0.000204331002121617,5.64257355612888,"Down"
"SOX7",-2.61494273129053,5.41892470682471,-7.94670327237838,1.43592749444301e-06,0.000204331002121617,5.63407423618631,"Down"
"CCBE1",-1.78676506844475,5.43918181845197,-7.92665701505321,1.47882112765829e-06,0.000206394986406815,5.60508859457995,"Down"
