"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"LRRC36",-3.25371130372545,5.95389651194564,-35.7201663861592,4.81394551117333e-59,6.66298198201501e-55,123.618400857338,"Down"
"ADAMTS8",-3.99530743995684,5.61673430885119,-33.6398065486861,1.28375213046279e-56,8.88420661886773e-53,118.203724214907,"Down"
"ROBO4",-2.52199666333817,6.85694946728912,-30.0588542059866,3.92372545760203e-52,1.81027613528899e-48,108.136980346943,"Down"
"AGER",-4.64910086382848,6.23156323533108,-26.6486907887342,1.91320575834078e-47,6.62017022529868e-44,97.5499267206349,"Down"
"SPTBN1",-1.43483940468992,6.2515167482773,-25.5353342058939,8.15880415384487e-46,2.25852016586734e-42,93.8561293021027,"Down"
"AGTR1",-2.82353881613062,5.04108197415638,-25.1903271284016,2.67511491338537e-45,6.17104425269448e-42,92.6861007945205,"Down"
"CLIC5",-2.42427035677593,5.0854345419194,-24.0182557396386,1.65370863700506e-43,3.26985446354101e-40,88.6181525067775,"Down"
"KANK3",-2.58549590620543,5.89222257279361,-23.618015064991,6.98735192867708e-43,1.20889922556024e-39,87.195211787765,"Down"
"FAM107A",-3.93868604937086,6.71512235567992,-23.2008933559267,3.19507875812902e-42,4.91367612125153e-39,85.6934486344878,"Down"
"GRK5",-2.02513306829725,6.33665645221629,-22.9143219570142,9.1787882835266e-42,1.27043608632292e-38,84.650422424389,"Down"
"STARD9",-2.25755052917514,5.08813697505325,-22.3980476678779,6.28599981485855e-41,7.90950213067792e-38,82.7478019476718,"Down"
"PTPRB",-2.78976240036607,5.41745050054568,-22.1478319968024,1.61437710602466e-40,1.86204946037394e-37,81.8146456651263,"Down"
"CA4",-4.03925655877029,5.70969404406344,-21.9881382439444,2.95834874485963e-40,3.14973115212324e-37,81.2152727514012,"Down"
"GIMAP8",-2.0881045548736,5.75486997961634,-21.9152085084272,3.90478421785752e-40,3.77403012001627e-37,80.9405551741169,"Down"
"ACVRL1",-2.13299489292889,6.6651078604203,-21.8986086757617,4.1597978138922e-40,3.77403012001627e-37,80.8779383547334,"Down"
"STX11",-2.580930699825,5.05202748429442,-21.8861163600486,4.36272537535296e-40,3.77403012001627e-37,80.8307942879258,"Down"
"LTBP4",-2.15654987410653,6.94995677842307,-21.8482662580025,5.0405747780867e-40,4.10391738255871e-37,80.6878417905497,"Down"
"FHL1",-3.78328153690603,6.6144064914399,-21.7353686221679,7.76226793774363e-40,5.9687528070172e-37,80.2604464793234,"Down"
"COL6A6",-3.10887919226401,4.85208463050597,-21.2319634995964,5.41828337291721e-39,3.94707685076564e-36,78.3362954063652,"Down"
