"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"SGCG",-2.76026842250457,5.72908028339212,-28.1578207060477,5.6598530959733e-33,8.59278897030666e-29,64.6466979202221,"Down"
"AGER",-4.92047553140272,8.75388683407641,-26.4133221121258,1.24111776623421e-31,9.42132496348385e-28,61.6703673142701,"Down"
"GRIA1",-2.12132703384516,5.30906314467916,-26.1759767605203,1.91502831918052e-31,9.69131998059957e-28,61.2508601769673,"Down"
"CCBE1",-2.04602502163804,6.4471172067857,-25.1209927414437,1.37288315615069e-30,5.21077801916994e-27,59.3414690241462,"Down"
"SPOCK2",-2.49202697448801,7.96364520560131,-24.6963369522844,3.09499229765664e-30,9.39763461260461e-27,58.5515968461094,"Down"
"SERTM1",-3.24396608321692,5.1041448359396,-23.9854150950501,1.23973928425589e-29,3.13695363559549e-26,57.2007105997632,"Down"
"NCKAP5",-3.81709538846342,5.4293511374627,-23.864499297972,1.57516405661244e-29,3.41630581535573e-26,56.967301989734,"Down"
"GRK5",-2.47631632541869,7.84984171651773,-23.5158175081579,3.1601106783833e-29,5.99710003990192e-26,56.2881532045435,"Down"
"MME",-3.51359231090499,7.46799337371717,-23.1989341998174,5.99459786843039e-29,1.01122205376122e-25,55.6629931823273,"Down"
"GPM6A",-4.56084442084839,7.19156264474743,-22.6117883241527,2.0016158716057e-28,3.03885321627177e-25,54.4841423469318,"Down"
"IGSF10",-3.32556533229598,7.54029175502788,-22.5509830251193,2.27114335661797e-28,3.13459076728855e-25,54.3605079588253,"Down"
"KCNK3",-2.88393394822183,7.3253150565684,-22.364672347914,3.3504871933359e-28,4.23892471410214e-25,53.9798419096408,"Down"
"SH3GL3",-2.05240537830159,6.12482137985172,-22.0492351251987,6.51091021341745e-28,7.60374145077721e-25,53.328937193073,"Down"
"MYZAP",-3.28426827161044,7.42642584965669,-21.9342701278575,8.31067450451733e-28,8.74968385548689e-25,53.0896779082382,"Down"
"SPP1",6.09261711954062,8.79279904079035,21.9157486980101,8.64479369202367e-28,8.74968385548689e-25,53.051029754189,"Up"
"PTPRB",-2.80523822072329,7.46047231663314,-21.8523616963588,9.89529227578033e-28,9.38939545818106e-25,52.9185461741916,"Down"
"RTKN2",-3.78604287201318,5.26196025350991,-21.5709711700205,1.80954375647176e-27,1.61602901827967e-24,52.3263589890654,"Down"
"TOX3",4.23052060357332,6.77885456436336,20.6072631449669,1.50180505268343e-26,1.26668912832443e-23,50.246669480243,"Up"
"CA4",-4.0179829635444,7.57167155019663,-20.4070222682718,2.35414266195189e-26,1.86686247321511e-23,49.8042359082599,"Down"
"ASPA",-1.76804944626307,5.62558529803235,-20.3876352869055,2.45931033225545e-26,1.86686247321511e-23,49.7612073148126,"Down"
"ANGPTL1",-2.25192807021645,5.71976453027734,-19.9088478081892,7.31304810278739e-26,5.28698553792943e-23,48.687597625506,"Down"
"CDO1",-3.15117459474574,7.18593590465368,-19.7617601117342,1.02628987903071e-25,7.08233315611101e-23,48.3534895007525,"Down"
"ADAMTSL3",-1.86384801228862,7.14829980076924,-19.7132490990628,1.14813837815003e-25,7.46146341192158e-23,48.2428494814228,"Down"
"ANOS1",-3.00565183969537,9.45177232709081,-19.7016020040163,1.17952260496718e-25,7.46146341192158e-23,48.2162525204471,"Down"
"DACH1",-2.81396465975855,6.09504818003688,-19.543238120029,1.70405734217733e-25,1.03483994275745e-22,47.8533360089719,"Down"
"STXBP6",-3.64554646149417,7.03610704264072,-19.2986210968468,3.02166959886999e-25,1.76442260961709e-22,47.2880254880386,"Down"
"FAM107A",-3.80725364447568,8.91428580010719,-19.2217546351667,3.62170326667128e-25,2.03647033313346e-22,47.1091895082612,"Down"
"TNNC1",-3.65258807544938,7.49375068333739,-19.147483106529,4.31668723933575e-25,2.3405694881284e-22,46.9358426095306,"Down"
"KANK3",-2.67922573774503,7.40116607819313,-18.8049907254436,9.76411301045821e-25,5.11168150775091e-22,46.129438313518,"Down"
"RXFP1",-2.41277852594981,5.29676534512264,-18.7772286675191,1.04370844087772e-24,5.28186051646853e-22,46.0635605841846,"Down"
"EMP2",-2.0700950898654,10.8861834308829,-18.6984472861848,1.2615269662943e-24,5.96990944569486e-22,45.8761956169798,"Down"
"CLEC3B",-3.82262740618365,9.93857765514403,-18.6889761572939,1.29065522027263e-24,5.96990944569486e-22,45.8536284678746,"Down"
"ACVRL1",-2.10416750669943,7.6738238955052,-18.6706557413222,1.34895487513883e-24,5.96990944569486e-22,45.809950177688,"Down"
"ROBO4",-2.31623527510967,7.26422099365654,-18.6705218431554,1.34939068209359e-24,5.96990944569486e-22,45.8096308221157,"Down"
"RASIP1",-1.49756762223164,6.59604650540588,-18.6623442340612,1.37628000658227e-24,5.96990944569486e-22,45.790123277791,"Down"
"EFCC1",-1.73122936421364,6.71349604100432,-18.4444388752107,2.33390132209704e-24,9.84258052002145e-22,45.2678159335292,"Down"
"QKI",-1.19488632456729,7.92953009926323,-18.3784381247877,2.74128938496434e-24,1.12184046343607e-21,45.1086601578577,"Down"
"HSPA12B",-1.65742510772613,6.82050836067755,-18.3686003116199,2.80792633451261e-24,1.12184046343607e-21,45.0848987555067,"Down"
"ENTREP1",-2.17687822180348,7.90545291893044,-18.3409579935591,3.00411414925104e-24,1.16944771830588e-21,45.0180806479668,"Down"
"TMEM74B",-1.83154505152018,6.62704284191352,-18.1893384411799,4.3569285188453e-24,1.65367221932773e-21,44.6501778414748,"Down"
"STARD13",-2.0893507407867,7.68020526649373,-18.1691491783581,4.57883852554802e-24,1.69551040231391e-21,44.6010092439843,"Down"
"AGTR1",-2.95256603670731,6.5924564013868,-18.0889309622576,5.58024930547727e-24,2.01712726085133e-21,44.4052279839426,"Down"
"OCIAD2",2.44485059807674,9.60824301442583,18.0431204135889,6.24932847224042e-24,2.20644895036172e-21,44.2931210784921,"Up"
"FABP4",-4.35756940086037,9.19601083297524,-17.9221101252776,8.43692970064207e-24,2.91112424352609e-21,43.9959279523867,"Down"
"COL10A1",4.22047915184539,6.93861270331549,17.8564008544614,9.9365369658824e-24,3.35236676035615e-21,43.8339041736562,"Up"
"EDNRB",-3.66951233774637,8.60241043294173,-17.7642624762478,1.25078918704671e-23,4.12814813863982e-21,43.6059422126795,"Down"
"CAV1",-3.37963881278038,11.0428119045529,-17.6882378079977,1.51334163660016e-23,4.88841547380077e-21,43.4171675749697,"Down"
"OTUD1",-1.76267653351977,9.63105149631997,-17.6657827297465,1.60113724929674e-23,5.06426369142148e-21,43.3612919705859,"Down"
"DENND3",-1.73976051336134,7.51483153983828,-17.5331679317511,2.2363016576218e-23,6.92888403388045e-21,43.0302001543701,"Down"
