"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"ADH1A",-3.42386372602468,8.74169426462453,-16.6988023364163,2.22918771265915e-12,3.54607293198347e-08,17.8155720491099,"Down"
"ADH1C",-3.47123808058426,9.0373167231432,-16.0713466993936,4.25443663105395e-12,3.54607293198347e-08,17.2752249263198,"Down"
"CLIC5",-4.16389772376049,8.86462749313268,-13.5653931097853,7.14651876962325e-11,3.97108226298732e-07,14.8315478571635,"Down"
"FMO2",-3.1733259244698,8.67992130352915,-12.5651686738965,2.49422067120538e-10,1.03946646472484e-06,13.7098176584571,"Down"
"FHL1",-3.47784771283683,8.46164499657378,-11.9668301561077,5.47807777895441e-10,1.54994583982919e-06,12.9930612227169,"Down"
"CAV1",-3.69058118854973,11.2193139240386,-11.9532628709539,5.57868928552796e-10,1.54994583982919e-06,12.976389825447,"Down"
"GRK5",-2.8016782543766,8.06770291495851,-11.7367822604493,7.47504664355631e-10,1.78012896497263e-06,12.7077953865101,"Down"
"CFD",-2.45118211257887,9.00373581187811,-11.219498112726,1.53052420953434e-09,3.18922982161719e-06,12.0457852603861,"Down"
"NEBL",-1.88260236082392,6.48853198738419,-11.0464827137953,1.95612007502736e-09,3.3710107839038e-06,11.8178128468421,"Down"
"GPX3",-3.55613316180054,10.1910882164744,-11.0137890513138,2.0496174881865e-09,3.3710107839038e-06,11.7743565235097,"Down"
"CLDN18",-2.99553529666906,7.6269740740483,-10.9566564558587,2.22442223292992e-09,3.3710107839038e-06,11.6981252753802,"Down"
"NEDD4L",-2.78246329805826,7.71512077835716,-10.4610469282546,4.5869997020568e-09,6.06210521545902e-06,11.0210198781231,"Down"
"A2M",-3.29095798952007,9.87704033354379,-10.4395074329211,4.73627428831304e-09,6.06210521545902e-06,10.9909371598575,"Down"
"NEDD9",-2.96019213483108,7.64744285268901,-10.3534332954906,5.38549849815508e-09,6.06210521545902e-06,10.8701679237921,"Down"
"ABLIM1",-2.23882091809018,8.23299765240535,-10.34489397939,5.45480373316649e-09,6.06210521545902e-06,10.858137919584,"Down"
"ZFAND5",-2.61408550750024,9.4515279785121,-10.194079546766,6.84556342280783e-09,6.49408168829284e-06,10.6442161570666,"Down"
"PDK4",-2.6352764452184,8.98476335489689,-10.1655536343062,7.14797939114809e-09,6.49408168829284e-06,10.6034416509712,"Down"
"DPYSL2",-2.66002045500452,7.34973621625821,-10.1490730799537,7.32904099144143e-09,6.49408168829284e-06,10.5798390698464,"Down"
"STX11",-1.69837750588843,7.91616440363618,-10.1425725465749,7.40177277009982e-09,6.49408168829284e-06,10.5705201646385,"Down"
"LIMCH1",-2.84494792022446,8.74989000860813,-10.0723871111253,8.2369323577874e-09,6.8654831202158e-06,10.4695732924018,"Down"
"TJP1",-2.19534984649838,7.39018252676297,-9.87056167979527,1.12351754864189e-08,8.20109345953017e-06,10.1758765763577,"Down"
"SPARCL1",-2.77955979141133,7.45265991322938,-9.86817786180972,1.12767469688792e-08,8.20109345953017e-06,10.1723771188919,"Down"
"LPL",-3.20076649862719,7.94361028597377,-9.86597841611806,1.13152459249666e-08,8.20109345953017e-06,10.169147684972,"Down"
"AOC3",-3.33413831682326,8.19860388593847,-9.745452680151,1.36499824174684e-08,9.24156438380116e-06,9.99124377953002,"Down"
"MFAP4",-2.84152806695634,8.22636037212776,-9.73570778401903,1.38595746607696e-08,9.24156438380116e-06,9.97677897110778,"Down"
"KANK2",-2.69133067299652,8.74151910616848,-9.65541473122792,1.57200630091792e-08,9.71076032535081e-06,9.85713378352897,"Down"
"C1orf198",-2.21592324418355,9.40749539893517,-9.6550823427687,1.57282860698543e-08,9.71076032535081e-06,9.85663677067825,"Down"
"MAOB",-2.52323142544214,7.89897258310996,-9.55409056394265,1.84476331691866e-08,1.07762448042927e-05,9.70496635676676,"Down"
"CGNL1",-2.40088717104027,7.5081376548006,-9.54393991461938,1.87469165761541e-08,1.07762448042927e-05,9.68964904880353,"Down"
"TGFBR2",-2.09019483103941,7.84556974691117,-9.51117082078628,1.97482183684099e-08,1.09734266733798e-05,9.64010921912967,"Down"
"GABARAPL1",-2.10699002275818,7.97173950954864,-9.46911276993905,2.11159397936148e-08,1.10134386652095e-05,9.57632161136517,"Down"
"FXYD1",-2.23874758501037,7.35006181815934,-9.46835196457912,2.11415739224178e-08,1.10134386652095e-05,9.57516560590148,"Down"
"FXYD6",-1.58743846650697,7.92361311048807,-9.33341525321837,2.62451973926805e-08,1.32578012283631e-05,9.36893559309255,"Down"
"WIF1",-2.8309497658904,7.66662684209648,-9.31383571499667,2.70865248041851e-08,1.32803637789931e-05,9.33881208058954,"Down"
"EPAS1",-3.92320625140863,9.54495896127044,-9.28247874771072,2.84931369725202e-08,1.35022463126878e-05,9.29046305581403,"Down"
"HBB",-4.10050772869778,8.44175907485872,-9.26819428553082,2.91590202313594e-08,1.35022463126878e-05,9.26839475036065,"Down"
